,"
UF","
Código do Município","
Município",Fevereiro/2025,Pop IBGE 2024,%,
,RN,241390,Rn-Taipu,375,11.716,"3,20%",
,RN,241400,Rn-Tangara,758,13.602,"5,57%",
,RN,241410,Rn-Tenente Ananias,285,10.587,"2,69%",
,RN,241415,Rn-Tenente Laurentino Cruz,220,6.118,"3,60%",
,RN,241420,Rn-Tibau do Sul,3.904,17.840,"21,88%",
,RN,241430,Rn-Timbauba dos Batistas,92,2.420,"3,80%",
,RN,241440,Rn-Touros,2.119,34.624,"6,12%",
,RN,241445,Rn-Triunfo Potiguar,91,3.474,"2,62%",
,RN,241450,Rn-Umarizal,412,10.671,"3,86%",
,RN,241460,Rn-Upanema,664,14.013,"4,74%",
,RN,241470,Rn-Varzea,100,5.383,"1,86%",
,RN,241475,Rn-Venha-Ver,3,3.035,"0,10%",
,RN,241480,Rn-Vera Cruz,441,11.044,"3,99%",
,RN,241490,Rn-Vicosa,10,1.890,"0,53%",
,RN,241500,Rn-Vila Flor,266,3.289,"8,09%",
,PB,250010,Pb-Agua Branca,71,9.578,"0,74%",
,PB,250020,Pb-Aguiar,103,5.061,"2,04%",
,PB,250030,Pb-Alagoa Grande,844,26.774,"3,15%",
,PB,250040,Pb-Alagoa Nova,962,21.724,"4,43%",
,PB,250050,Pb-Alagoinha,295,14.118,"2,09%",
,PB,250053,Pb-Alcantil,92,5.777,"1,59%",
,PB,250057,Pb-Algodao de Jandaira,23,3.105,"0,74%",
,PB,250060,Pb-Alhandra,3.907,22.797,"17,14%",
,PB,250070,Pb-Sao Joao do Rio do Peixe,749,18.468,"4,06%",
,PB,250073,Pb-Amparo,52,2.316,"2,25%",
,PB,250077,Pb-Aparecida,370,8.225,"4,50%",
,PB,250080,Pb-Aracagi,189,17.012,"1,11%",
,PB,250090,Pb-Arara,312,12.496,"2,50%",
,PB,250100,Pb-Araruna,409,17.442,"2,34%",
,PB,250110,Pb-Areia,1.208,23.082,"5,23%",
,PB,250115,Pb-Areia de Baraunas,8,2.036,"0,39%",
,PB,250120,Pb-Areial,99,7.393,"1,34%",
,PB,250130,Pb-Aroeiras,248,19.148,"1,30%",
,PB,250135,Pb-Assuncao,71,4.342,"1,64%",
,PB,250140,Pb-Baia da Traicao,133,9.648,"1,38%",
,PB,250150,Pb-Bananeiras,1.116,23.989,"4,65%",
,PB,250153,Pb-Barauna,68,4.968,"1,37%",
,PB,250157,Pb-Barra de Santana,245,8.253,"2,97%",
,PB,250160,Pb-Barra de Santa Rosa,289,13.094,"2,21%",
,PB,250170,Pb-Barra de Sao Miguel,65,6.101,"1,07%",
,PB,250180,Pb-Bayeux,9.629,84.404,"11,41%",
,PB,250190,Pb-Belem,871,16.740,"5,20%",
,PB,250200,Pb-Belem do Brejo do Cruz,179,6.324,"2,83%",
,PB,250205,Pb-Bernardino Batista,29,3.650,"0,79%",
,PB,250210,Pb-Boa Ventura,27,5.277,"0,51%",
,PB,250215,Pb-Boa Vista,858,6.575,"13,05%",
,PB,250220,Pb-Bom Jesus,151,2.333,"6,47%",
,PB,250230,Pb-Bom Sucesso,62,4.740,"1,31%",
,PB,250240,Pb-Bonito de Santa Fe,84,10.460,"0,80%",
,PB,250250,Pb-Boqueirao,1.016,18.153,"5,60%",
,PB,250260,Pb-Igaracy,53,5.743,"0,92%",
,PB,250270,Pb-Borborema,44,4.231,"1,04%",
,PB,250280,Pb-Brejo do Cruz,227,14.050,"1,62%",
,PB,250290,Pb-Brejo dos Santos,103,5.840,"1,76%",25
,PB,250300,Pb-Caapora,3.432,21.865,"15,70%",
,PB,250310,Pb-Cabaceiras,145,5.515,"2,63%",
,PB,250320,Pb-Cabedelo,19.878,70.067,"28,37%",
,PB,250330,Pb-Cachoeira dos Indios,156,9.351,"1,67%",
,PB,250340,Pb-Cacimba de Areia,22,3.354,"0,66%",
,PB,250350,Pb-Cacimba de Dentro,194,16.373,"1,18%",
,PB,250355,Pb-Cacimbas,43,7.478,"0,58%",
,PB,250360,Pb-Caicara,174,6.713,"2,59%",
,PB,250370,Pb-Cajazeiras,8.851,66.171,"13,38%",
,PB,250375,Pb-Cajazeirinhas,-5,2.776,"-0,18%",26
,PB,250380,Pb-Caldas Brandao,244,5.928,"4,12%",
,PB,250390,Pb-Camalau,71,6.298,"1,13%",
,PB,250400,Pb-Campina Grande,109.195,440.939,"24,76%",
,PB,250403,Pb-Capim,159,7.347,"2,16%",
,PB,250407,Pb-Caraubas,8,4.059,"0,20%",
,PB,250410,Pb-Carrapateira,6,2.367,"0,25%",
,PB,250415,Pb-Casserengue,121,7.056,"1,71%",
,PB,250420,Pb-Catingueira,78,4.572,"1,71%",
,PB,250430,Pb-Catole do Rocha,3.269,32.118,"10,18%",
,PB,250435,Pb-Caturite,262,5.492,"4,77%",
,PB,250440,Pb-Conceicao,486,18.723,"2,60%",
,PB,250450,Pb-Condado,103,6.624,"1,55%",
,PB,250460,Pb-Conde,6.223,29.543,"21,06%",
,PB,250470,Pb-Congo,130,5.102,"2,55%",
,PB,250480,Pb-Coremas,289,15.005,"1,93%",
,PB,250485,Pb-Coxixola,29,1.882,"1,54%",
,PB,250490,Pb-Cruz do Espirito Santo,538,17.718,"3,04%",
,PB,250500,Pb-Cubati,318,7.820,"4,07%",
,PB,250510,Pb-Cuite,604,20.205,"2,99%",
,PB,250520,Pb-Cuitegi,174,6.894,"2,52%",
,PB,250523,Pb-Cuite de Mamanguape,84,6.431,"1,31%",
,PB,250527,Pb-Curral de Cima,35,5.406,"0,65%",
,PB,250530,Pb-Curral Velho,3,2.327,"0,13%",
,PB,250535,Pb-Damiao,46,5.131,"0,90%",
,PB,250540,Pb-Desterro,96,8.300,"1,16%",
,PB,250550,Pb-Vista Serrana,26,3.759,"0,69%",
,PB,250560,Pb-Diamante,46,6.431,"0,72%",
,PB,250570,Pb-Dona Ines,131,10.640,"1,23%",
,PB,250580,Pb-Duas Estradas,56,3.377,"1,66%",
,PB,250590,Pb-Emas,12,3.053,"0,39%",
,PB,250600,Pb-Esperanca,3.310,32.522,"10,18%",
,PB,250610,Pb-Fagundes,195,11.315,"1,72%",
,PB,250620,Pb-Frei Martinho,39,2.913,"1,34%",
,PB,250625,Pb-Gado Bravo,136,8.395,"1,62%",
,PB,250630,Pb-Guarabira,10.433,59.836,"17,44%",
,PB,250640,Pb-Gurinhem,622,14.133,"4,40%",
,PB,250650,Pb-Gurjao,136,3.343,"4,07%",
,PB,250660,Pb-Ibiara,118,5.733,"2,06%",
,PB,250670,Pb-Imaculada,60,10.550,"0,57%",
,PB,250680,Pb-Inga,911,18.197,"5,01%",
,PB,250690,Pb-Itabaiana,1.363,23.621,"5,77%",
,PB,250700,Pb-Itaporanga,2.156,24.686,"8,73%",
,PB,250710,Pb-Itapororoca,894,19.054,"4,69%",27
,PB,250720,Pb-Itatuba,571,10.816,"5,28%",
,PB,250730,Pb-Jacarau,299,14.923,"2,00%",
,PB,250740,Pb-Jerico,92,7.721,"1,19%",
,PB,250750,Pb-Joao Pessoa,214.648,888.679,"24,15%",
,PB,250760,Pb-Juarez Tavora,99,8.057,"1,23%",
,PB,250770,Pb-Juazeirinho,560,17.488,"3,20%",
,PB,250780,Pb-Junco do Serido,323,7.002,"4,61%",
,PB,250790,Pb-Juripiranga,432,10.259,"4,21%",
,PB,250800,Pb-Juru,61,9.410,"0,65%",
,PB,250810,Pb-Lagoa,67,4.502,"1,49%",
,PB,250820,Pb-Lagoa de Dentro,127,8.088,"1,57%",
,PB,250830,Pb-Lagoa Seca,1.321,29.053,"4,55%",
,PB,250840,Pb-Lastro,11,3.292,"0,33%",
,PB,250850,Pb-Livramento,43,7.045,"0,61%",
,PB,250855,Pb-Logradouro,36,5.045,"0,71%",
,PB,250860,Pb-Lucena,1.205,13.019,"9,26%",
,PB,250870,Pb-Mae D Agua,17,3.624,"0,47%",
,PB,250880,Pb-Malta,210,6.259,"3,36%",
,PB,250890,Pb-Mamanguape,7.497,46.719,"16,05%",
,PB,250900,Pb-Manaira,110,10.700,"1,03%",
,PB,250905,Pb-Marcacao,103,9.435,"1,09%",
,PB,250910,Pb-Mari,521,22.126,"2,35%",
,PB,250915,Pb-Marizopolis,175,6.960,"2,51%",
,PB,250920,Pb-Massaranduba,300,14.666,"2,05%",
,PB,250930,Pb-Mataraca,611,8.585,"7,12%",
,PB,250933,Pb-Matinhas,19,4.735,"0,40%",
,PB,250937,Pb-Mato Grosso,23,2.592,"0,89%",
,PB,250939,Pb-Matureia,84,6.677,"1,26%",
,PB,250940,Pb-Mogeiro,356,14.375,"2,48%",
,PB,250950,Pb-Montadas,196,6.083,"3,22%",
,PB,250960,Pb-Monte Horebe,22,4.435,"0,50%",28
,PB,250970,Pb-Monteiro,2.526,33.742,"7,49%",
,PB,250980,Pb-Mulungu,395,8.945,"4,42%",
,PB,250990,Pb-Natuba,33,9.014,"0,37%",
,PB,251000,Pb-Nazarezinho,76,7.392,"1,03%",
,PB,251010,Pb-Nova Floresta,204,9.884,"2,06%",
,PB,251020,Pb-Nova Olinda,63,5.909,"1,07%",
,PB,251030,Pb-Nova Palmeira,153,4.362,"3,51%",
,PB,251040,Pb-Olho D Agua,23,6.111,"0,38%",
,PB,251050,Pb-Olivedos,30,3.674,"0,82%",
,PB,251060,Pb-Ouro Velho,40,2.998,"1,33%",
,PB,251065,Pb-Parari,27,1.751,"1,54%",
,PB,251070,Pb-Passagem,29,2.562,"1,13%",
,PB,251080,Pb-Patos,14.110,107.774,"13,09%",
,PB,251090,Pb-Paulista,215,12.160,"1,77%",
,PB,251100,Pb-Pedra Branca,70,3.846,"1,82%",
,PB,251110,Pb-Pedra Lavrada,169,6.998,"2,41%",
,PB,251120,Pb-Pedras de Fogo,4.041,31.152,"12,97%",29
,PB,251130,Pb-Pianco,477,17.006,"2,80%",
,PB,251140,Pb-Picui,831,18.835,"4,41%",
,PB,251150,Pb-Pilar,873,12.801,"6,82%",
,PB,251160,Pb-Piloes,166,6.979,"2,38%",
,PB,251170,Pb-Piloezinhos,35,5.514,"0,63%",
,PB,251180,Pb-Pirpirituba,249,9.467,"2,63%",
,PB,251190,Pb-Pitimbu,1.015,17.164,"5,91%",
,PB,251200,Pb-Pocinhos,880,17.990,"4,89%",
,PB,251203,Pb-Poco Dantas,138,3.932,"3,51%",
,PB,251207,Pb-Poco de Jose de Moura,170,4.120,"4,13%",
,PB,251210,Pb-Pombal,1.561,33.796,"4,62%",
,PB,251220,Pb-Prata,64,4.027,"1,59%",
,PB,251230,Pb-Princesa Isabel,1.169,21.659,"5,40%",
,PB,251240,Pb-Puxinana,630,14.837,"4,25%",
,PB,251250,Pb-Queimadas,3.363,50.214,"6,70%",
,PB,251260,Pb-Quixaba,20,1.798,"1,11%",
,PB,251270,Pb-Remigio,621,18.373,"3,38%",
,PB,251272,Pb-Pedro Regio,28,5.925,"0,47%",
,PB,251274,Pb-Riachao,21,2.964,"0,71%",30
,PB,251275,Pb-Riachao do Bacamarte,228,4.877,"4,68%",
,PB,251276,Pb-Riachao do Poco,72,4.946,"1,46%",
,PB,251278,Pb-Riacho de Santo Antonio,8,2.044,"0,39%",
,PB,251280,Pb-Riacho dos Cavalos,133,8.762,"1,52%",
,PB,251290,Pb-Rio Tinto,1.858,25.394,"7,32%",
,PB,251300,Pb-Salgadinho,19,3.437,"0,55%",
,PB,251310,Pb-Salgado de Sao Felix,176,11.760,"1,50%",
,PB,251315,Pb-Santa Cecilia,66,8.031,"0,82%",
,PB,251320,Pb-Santa Cruz,123,6.041,"2,04%",
,PB,251330,Pb-Santa Helena,51,6.020,"0,85%",
,PB,251335,Pb-Santa Ines,5,3.274,"0,15%",
,PB,251340,Pb-Santa Luzia,1.966,15.387,"12,78%",
,PB,251350,Pb-Santana de Mangueira,6,5.106,"0,12%",
,PB,251360,Pb-Santana dos Garrotes,39,6.657,"0,59%",
,PB,251365,Pb-Santarem,11,2.606,"0,42%",
,PB,251370,Pb-Santa Rita,20.442,159.121,"12,85%",
,PB,251380,Pb-Santa Teresinha,182,4.499,"4,05%",
,PB,251385,Pb-Santo Andre,36,2.702,"1,33%",
,PB,251390,Pb-Sao Bento,2.467,33.700,"7,32%",
,PB,251392,Pb-Sao Bentinho,44,4.473,"0,98%",
,PB,251394,Pb-Sao Domingos do Cariri,27,2.676,"1,01%",
,PB,251396,Pb-Sao Domingos de Pombal,64,2.636,"2,43%",
,PB,251398,Pb-Sao Francisco,44,3.190,"1,38%",
,PB,251400,Pb-Sao Joao do Cariri,141,4.341,"3,25%",
,PB,251410,Pb-Sao Joao do Tigre,29,4.363,"0,66%",
,PB,251420,Pb-Sao Jose da Lagoa Tapada,106,7.270,"1,46%",
,PB,251430,Pb-Sao Jose de Caiana,18,5.032,"0,36%",
,PB,251440,Pb-Sao Jose de Espinharas,101,4.099,"2,46%",
,PB,251445,Pb-Sao Jose dos Ramos,55,6.105,"0,90%",
,PB,251450,Pb-Sao Jose de Piranhas,407,19.552,"2,08%",
,PB,251455,Pb-Sao Jose de Princesa,3,3.383,"0,09%",
,PB,251460,Pb-Sao Jose do Bonfim,15,3.333,"0,45%",
,PB,251465,Pb-Sao Jose do Brejo do Cruz,8,1.748,"0,46%",
,PB,251470,Pb-Sao Jose do Sabugi,104,4.270,"2,44%",
,PB,251480,Pb-Sao Jose dos Cordeiros,135,3.474,"3,89%",
,PB,251490,Pb-Sao Mamede,130,7.640,"1,70%",
,PB,251500,Pb-Sao Miguel de Taipu,250,7.287,"3,43%",
,PB,251510,Pb-Sao Sebastiao de Lagoa de Roca,180,11.365,"1,58%",
,PB,251520,Pb-Sao Sebastiao do Umbuzeiro,-16,3.376,"-0,47%",
,PB,251530,Pb-Sape,3.117,53.309,"5,85%",
,PB,251540,Pb-Serido,265,10.620,"2,50%",
,PB,251550,Pb-Serra Branca,821,14.075,"5,83%",
,PB,251560,Pb-Serra da Raiz,48,3.162,"1,52%",
,PB,251570,Pb-Serra Grande,70,3.043,"2,30%",
,PB,251580,Pb-Serra Redonda,116,6.984,"1,66%",
,PB,251590,Pb-Serraria,49,4.839,"1,01%",
,PB,251593,Pb-Sertaozinho,329,5.282,"6,23%",
,PB,251597,Pb-Sobrado,183,8.579,"2,13%",
,PB,251600,Pb-Solanea,1.476,27.749,"5,32%",
,PB,251610,Pb-Soledade,652,14.381,"4,53%",
,PB,251615,Pb-Sossego,28,3.461,"0,81%",
,PB,251620,Pb-Sousa,9.055,69.876,"12,96%",
,PB,251630,Pb-Sume,823,17.763,"4,63%",
,PB,251640,Pb-Campo de Santana,64,7.934,"0,81%",
,PB,251650,Pb-Taperoa,248,14.376,"1,73%",
,PB,251660,Pb-Tavares,153,14.464,"1,06%",
,PB,251670,Pb-Teixeira,473,15.082,"3,14%",
,PB,251675,Pb-Tenorio,53,3.069,"1,73%",
,PB,251680,Pb-Triunfo,99,10.259,"0,97%",
,PB,251690,Pb-Uirauna,606,15.386,"3,94%",
,PB,251700,Pb-Umbuzeiro,88,9.302,"0,95%",
,PB,251710,Pb-Varzea,54,2.764,"1,95%",
,PB,251720,Pb-Vieiropolis,122,4.974,"2,45%",
,PB,251740,Pb-Zabele,16,2.310,"0,69%",
,PE,260005,Pe-Abreu e Lima,10.264,103.945,"9,87%",
,PE,260010,Pe-Afogados da Ingazeira,3.713,42.407,"8,76%",
,PE,260020,Pe-Afranio,1.215,19.349,"6,28%",
,PE,260030,Pe-Agrestina,1.431,24.615,"5,81%",
,PE,260040,Pe-Agua Preta,1.473,27.221,"5,41%",
,PE,260050,Pe-Aguas Belas,1.810,43.713,"4,14%",
,PE,260060,Pe-Alagoinha,216,14.355,"1,50%",
,PE,260070,Pe-Alianca,2.287,37.372,"6,12%",
,PE,260080,Pe-Altinho,641,21.185,"3,03%",
,PE,260090,Pe-Amaraji,829,18.471,"4,49%",
,PE,260100,Pe-Angelim,293,10.580,"2,77%",
,PE,260105,Pe-Aracoiaba,1.141,19.936,"5,72%",
,PE,260110,Pe-Araripina,7.580,90.104,"8,41%",
,PE,260120,Pe-Arcoverde,9.066,82.003,"11,06%",
,PE,260130,Pe-Barra de Guabiraba,589,12.616,"4,67%",
,PE,260140,Pe-Barreiros,3.314,42.056,"7,88%",
,PE,260150,Pe-Belem de Maria,54,10.829,"0,50%",
,PE,260160,Pe-Belem de Sao Francisco,1.846,18.713,"9,86%",
,PE,260170,Pe-Belo Jardim,12.542,83.647,"14,99%",
,PE,260180,Pe-Betania,196,11.981,"1,64%",
,PE,260190,Pe-Bezerros,9.262,64.809,"14,29%",
,PE,260200,Pe-Bodoco,404,36.129,"1,12%",
,PE,260210,Pe-Bom Conselho,2.450,46.192,"5,30%",
,PE,260220,Pe-Bom Jardim,1.375,39.278,"3,50%",
,PE,260230,Pe-Bonito,3.660,39.163,"9,35%",
,PE,260240,Pe-Brejao,490,9.399,"5,21%",
,PE,260250,Pe-Brejinho,332,8.010,"4,14%",
,PE,260260,Pe-Brejo da Madre de Deus,1.748,51.107,"3,42%",
,PE,260270,Pe-Buenos Aires,385,13.254,"2,90%",31
,PE,260280,Pe-Buique,1.946,54.425,"3,58%",
,PE,260290,Pe-Cabo de Santo Agostinho,44.573,216.969,"20,54%",
,PE,260300,Pe-Cabrobo,2.432,31.746,"7,66%",
,PE,260310,Pe-Cachoeirinha,734,20.612,"3,56%",
,PE,260320,Pe-Caetes,578,30.441,"1,90%",32
,PE,260330,Pe-Calcado,75,11.445,"0,66%",
,PE,260340,Pe-Calumbi,130,5.367,"2,42%",
,PE,260345,Pe-Camaragibe,13.184,155.771,"8,46%",
,PE,260350,Pe-Camocim de Sao Felix,632,17.991,"3,51%",
,PE,260360,Pe-Camutanga,4.131,7.972,"51,82%",
,PE,260370,Pe-Canhotinho,1.288,25.090,"5,13%",
,PE,260380,Pe-Capoeiras,527,18.890,"2,79%",
,PE,260390,Pe-Carnaiba,497,19.513,"2,55%",
,PE,260392,Pe-Carnaubeira da Penha,159,12.682,"1,25%",
,PE,260400,Pe-Carpina,12.109,83.205,"14,55%",
,PE,260410,Pe-Caruaru,87.517,402.290,"21,75%",
,PE,260415,Pe-Casinhas,66,13.489,"0,49%",
,PE,260420,Pe-Catende,821,33.279,"2,47%",
,PE,260430,Pe-Cedro,130,10.845,"1,20%",
,PE,260440,Pe-Cha de Alegria,522,13.461,"3,88%",
,PE,260450,Pe-Cha Grande,920,21.224,"4,33%",
,PE,260460,Pe-Condado,1.434,25.383,"5,65%",
,PE,260470,Pe-Correntes,275,17.660,"1,56%",
,PE,260480,Pe-Cortes,473,10.512,"4,50%",
,PE,260490,Pe-Cumaru,151,16.252,"0,93%",
,PE,260500,Pe-Cupira,1.585,24.301,"6,52%",
,PE,260510,Pe-Custodia,2.637,39.403,"6,69%",
,PE,260515,Pe-Dormentes,1.688,17.749,"9,51%",33
,PE,260520,Pe-Escada,6.926,62.252,"11,13%",
,PE,260530,Pe-Exu,601,33.436,"1,80%",
,PE,260540,Pe-Feira Nova,819,22.169,"3,69%",
,PE,260545,Pe-Fernando de Noronha,2.650,3.316,"79,92%",
,PE,260550,Pe-Ferreiros,1.041,15.794,"6,59%",
,PE,260560,Pe-Flores,181,20.835,"0,87%",
,PE,260570,Pe-Floresta,2.718,31.627,"8,59%",
,PE,260580,Pe-Frei Miguelinho,222,14.070,"1,58%",
,PE,260590,Pe-Gameleira,421,17.973,"2,34%",
,PE,260600,Pe-Garanhuns,20.679,151.064,"13,69%",
,PE,260610,Pe-Gloria do Goita,2.104,30.370,"6,93%",
,PE,260620,Pe-Goiana,26.432,85.160,"31,04%",
,PE,260630,Pe-Granito,73,7.206,"1,01%",
,PE,260640,Pe-Gravata,11.521,91.887,"12,54%",
,PE,260650,Pe-Iati,245,17.605,"1,39%",
,PE,260660,Pe-Ibimirim,611,28.760,"2,12%",
,PE,260670,Pe-Ibirajuba,39,7.344,"0,53%",
,PE,260680,Pe-Igarassu,21.872,122.312,"17,88%",
,PE,260690,Pe-Iguaraci,106,11.366,"0,93%",
,PE,260700,Pe-Inaja,821,27.488,"2,99%",
,PE,260710,Pe-Ingazeira,25,4.959,"0,50%",
,PE,260720,Pe-Ipojuca,32.535,105.638,"30,80%",
,PE,260730,Pe-Ipubi,861,30.603,"2,81%",
,PE,260740,Pe-Itacuruba,612,4.490,"13,63%",
,PE,260750,Pe-Itaiba,381,33.691,"1,13%",
,PE,260760,Pe-Itamaraca,1.022,25.529,"4,00%",
,PE,260765,Pe-Itambe,2.898,36.626,"7,91%",
,PE,260770,Pe-Itapetim,418,14.232,"2,94%",
,PE,260775,Pe-Itapissuma,4.346,29.463,"14,75%",
,PE,260780,Pe-Itaquitinga,374,17.109,"2,19%",
,PE,260790,Pe-Jaboatao dos Guararapes,105.153,683.285,"15,39%",
,PE,260795,Pe-Jaqueira,725,10.483,"6,92%",
,PE,260800,Pe-Jatauba,658,16.323,"4,03%",
,PE,260805,Pe-Jatoba,594,14.463,"4,11%",
,PE,260810,Pe-Joao Alfredo,1.045,28.903,"3,62%",
,PE,260820,Pe-Joaquim Nabuco,620,13.506,"4,59%",
,PE,260825,Pe-Jucati,113,11.975,"0,94%",
,PE,260830,Pe-Jupi,574,15.943,"3,60%",
,PE,260840,Pe-Jurema,330,14.027,"2,35%",
,PE,260845,Pe-Lagoa do Carro,1.445,18.708,"7,72%",
,PE,260850,Pe-Lagoa do Itaenga,5.631,19.915,"28,28%",
,PE,260860,Pe-Lagoa do Ouro,131,12.364,"1,06%",
,PE,260870,Pe-Lagoa dos Gatos,224,14.386,"1,56%",
,PE,260875,Pe-Lagoa Grande,2.736,24.952,"10,97%",
,PE,260880,Pe-Lajedo,2.903,41.786,"6,95%",
,PE,260890,Pe-Limoeiro,6.772,59.125,"11,45%",
,PE,260900,Pe-Macaparana,1.291,24.624,"5,24%",
,PE,260910,Pe-Machados,989,11.471,"8,62%",
,PE,260915,Pe-Manari,225,26.773,"0,84%",
,PE,260920,Pe-Maraial,370,9.432,"3,92%",
,PE,260930,Pe-Mirandiba,251,14.599,"1,72%",
,PE,260940,Pe-Moreno,8.372,57.647,"14,52%",
,PE,260950,Pe-Nazare da Mata,4.266,32.153,"13,27%",
,PE,260960,Pe-Olinda,77.329,365.402,"21,16%",
,PE,260970,Pe-Orobo,1.334,22.438,"5,95%",
,PE,260980,Pe-Oroco,220,14.100,"1,56%",
,PE,260990,Pe-Ouricuri,3.304,68.329,"4,84%",
,PE,261000,Pe-Palmares,7.467,56.615,"13,19%",
,PE,261010,Pe-Palmeirina,63,7.154,"0,88%",
,PE,261020,Pe-Panelas,1.310,23.449,"5,59%",
,PE,261030,Pe-Paranatama,137,12.712,"1,08%",
,PE,261040,Pe-Parnamirim,684,19.028,"3,59%",
,PE,261050,Pe-Passira,1.002,29.719,"3,37%",
,PE,261060,Pe-Paudalho,4.957,59.638,"8,31%",
,PE,261070,Pe-Paulista,53.639,362.960,"14,78%",
,PE,261080,Pe-Pedra,1.033,23.605,"4,38%",
,PE,261090,Pe-Pesqueira,4.805,65.408,"7,35%",
,PE,261100,Pe-Petrolandia,2.729,35.991,"7,58%",
,PE,261110,Pe-Petrolina,83.110,414.083,"20,07%",
,PE,261120,Pe-Pocao,288,10.805,"2,67%",
,PE,261130,Pe-Pombos,2.901,26.847,"10,81%",
,PE,261140,Pe-Primavera,3.421,14.351,"23,84%",34
,PE,261150,Pe-Quipapa,338,17.974,"1,88%",
,PE,261153,Pe-Quixaba,40,6.755,"0,59%",
,PE,261160,Pe-Recife,565.312,1.587.707,"35,61%",
,PE,261170,Pe-Riacho das Almas,1.225,21.411,"5,72%",
,PE,261180,Pe-Ribeirao,2.760,34.255,"8,06%",
,PE,261190,Pe-Rio Formoso,6.435,20.460,"31,45%",
,PE,261200,Pe-Saire,1.163,11.218,"10,37%",
,PE,261210,Pe-Salgadinho,280,5.620,"4,98%",
,PE,261220,Pe-Salgueiro,7.064,65.635,"10,76%",
,PE,261230,Pe-Saloa,402,14.173,"2,84%",
,PE,261240,Pe-Sanharo,668,18.933,"3,53%",
,PE,261245,Pe-Santa Cruz,148,14.320,"1,03%",
,PE,261247,Pe-Santa Cruz da Baixa Verde,363,11.933,"3,04%",
,PE,261250,Pe-Santa Cruz do Capibaribe,15.411,104.277,"14,78%",
,PE,261255,Pe-Santa Filomena,173,12.402,"1,39%",
,PE,261260,Pe-Santa Maria da Boa Vista,1.221,42.682,"2,86%",
,PE,261270,Pe-Santa Maria do Cambuca,314,14.533,"2,16%",
,PE,261280,Pe-Santa Terezinha,188,10.513,"1,79%",
,PE,261290,Pe-Sao Benedito do Sul,293,13.479,"2,17%",
,PE,261300,Pe-Sao Bento do Una,5.182,51.264,"10,11%",
,PE,261310,Pe-Sao Caitano,2.559,39.117,"6,54%",
,PE,261320,Pe-Sao Joao,674,24.772,"2,72%",
,PE,261330,Pe-Sao Joaquim do Monte,368,20.440,"1,80%",
,PE,261340,Pe-Sao Jose da Coroa Grande,1.600,19.468,"8,22%",35
,PE,261350,Pe-Sao Jose do Belmonte,2.781,36.752,"7,57%",
,PE,261360,Pe-Sao Jose do Egito,2.012,32.491,"6,19%",36
,PE,261370,Pe-Sao Lourenco da Mata,11.867,117.759,"10,08%",
,PE,261380,Pe-Sao Vicente Ferrer,1.000,17.176,"5,82%",
,PE,261390,Pe-Serra Talhada,12.212,98.143,"12,44%",
,PE,261400,Pe-Serrita,333,18.759,"1,78%",
,PE,261410,Pe-Sertania,876,34.269,"2,56%",
,PE,261420,Pe-Sirinhaem,5.963,39.233,"15,20%",
,PE,261430,Pe-Moreilandia,106,10.849,"0,98%",
,PE,261440,Pe-Solidao,23,5.403,"0,43%",
,PE,261450,Pe-Surubim,6.463,67.515,"9,57%",
,PE,261460,Pe-Tabira,1.677,29.093,"5,76%",
,PE,261470,Pe-Tacaimbo,932,14.277,"6,53%",
,PE,261480,Pe-Tacaratu,846,24.803,"3,41%",
,PE,261485,Pe-Tamandare,5.132,24.534,"20,92%",
,PE,261500,Pe-Taquaritinga do Norte,2.716,25.497,"10,65%",
,PE,261510,Pe-Terezinha,50,6.857,"0,73%",
,PE,261520,Pe-Terra Nova,137,9.221,"1,49%",
,PE,261530,Pe-Timbauba,9.150,47.575,"19,23%",
,PE,261540,Pe-Toritama,5.309,43.636,"12,17%",
,PE,261550,Pe-Tracunhaem,485,14.393,"3,37%",
,PE,261560,Pe-Trindade,2.426,32.086,"7,56%",
,PE,261570,Pe-Triunfo,737,15.142,"4,87%",
,PE,261580,Pe-Tupanatinga,1.025,27.009,"3,80%",
,PE,261590,Pe-Tuparetama,223,8.252,"2,70%",
,PE,261600,Pe-Venturosa,382,17.609,"2,17%",
,PE,261610,Pe-Verdejante,180,9.474,"1,90%",
,PE,261618,Pe-Vertente do Lerio,239,7.782,"3,07%",
,PE,261620,Pe-Vertentes,668,22.955,"2,91%",
,PE,261630,Pe-Vicencia,2.139,27.297,"7,84%",
,PE,261640,Pe-Vitoria de Santo Antao,27.140,143.799,"18,87%",
,PE,261650,Pe-Xexeu,641,11.791,"5,44%",
,AL,270010,Al-Agua Branca,763,19.550,"3,90%",
,AL,270020,Al-Anadia,852,14.193,"6,00%",
,AL,270030,Al-Arapiraca,45.607,243.661,"18,72%",
,AL,270040,Al-Atalaia,2.501,38.530,"6,49%",
,AL,270050,Al-Barra de Santo Antonio,1.542,16.735,"9,21%",
,AL,270060,Al-Barra de Sao Miguel,1.909,8.118,"23,52%",
,AL,270070,Al-Batalha,592,17.103,"3,46%",
,AL,270080,Al-Belem,429,4.820,"8,90%",
,AL,270090,Al-Belo Monte,430,5.898,"7,29%",
,AL,270100,Al-Boca da Mata,1.228,21.517,"5,71%",37
,AL,270110,Al-Branquinha,739,9.786,"7,55%",
,AL,270120,Al-Cacimbinhas,612,10.701,"5,72%",
