"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
Balneário Pinhal/RS,RS,430163,8260,7831,429,"5,19%",12353,11837,516,"4,18%","19,57%",
Muzambinho/MG,MG,314410,16305,15300,1005,"6,16%",18210,17447,763,"4,19%","32,02%",
Itatiaia/RJ,RJ,330225,22191,20898,1293,"5,83%",25106,24053,1053,"4,19%","28,02%",34
Oriente/SP,SP,353410,4910,4594,316,"6,44%",5057,4845,212,"4,19%","34,86%",
Umuarama/PR,PR,412810,80381,75377,5004,"6,23%",94795,90825,3970,"4,19%","32,73%",
Viçosa/MG,MG,317130,57553,54326,3227,"5,61%",64151,61456,2695,"4,20%","25,08%",
Guarapari/ES,ES,320240,80405,75106,5299,"6,59%",100701,96470,4231,"4,20%","36,25%",
Bastos/SP,SP,350580,15982,14888,1094,"6,85%",17622,16881,741,"4,20%","38,57%",
Santa Cruz de Minas/MG,MG,315733,6080,5764,316,"5,20%",6634,6355,279,"4,21%","19,08%",
Monte Alegre do Sul/SP,SP,353120,5806,5467,339,"5,84%",7275,6969,306,"4,21%","27,96%",
Rio Grande da Serra/SP,SP,354410,32920,31139,1781,"5,41%",35406,33917,1489,"4,21%","22,27%",
Palotina/PR,PR,411790,22588,21274,1314,"5,82%",27850,26678,1172,"4,21%","27,66%",
Alegrete/RS,RS,430040,61356,57725,3631,"5,92%",59936,57410,2526,"4,21%","28,78%",
Catuípe/RS,RS,430500,7658,7199,459,"5,99%",7291,6984,307,"4,21%","29,75%",
Alfenas/MG,MG,310160,58044,54694,3350,"5,77%",65109,62360,2749,"4,22%","26,84%",
Bom Despacho/MG,MG,310740,35714,33629,2085,"5,84%",42299,40512,1787,"4,22%","27,64%",
Coroados/SP,SP,351250,4149,3868,281,"6,77%",4407,4221,186,"4,22%","37,68%",
Ouvidor/GO,GO,521550,4337,4046,291,"6,71%",5871,5623,248,"4,22%","37,04%",
Álvares Machado/SP,SP,350130,18388,17102,1286,"6,99%",22078,21145,933,"4,23%","39,58%",
Imbituva/PR,PR,411010,20874,19656,1218,"5,84%",23462,22469,993,"4,23%","27,47%",
Mandirituba/PR,PR,411430,16322,15240,1082,"6,63%",21735,20815,920,"4,23%","36,15%",
Campinas do Sul/RS,RS,430380,4552,4337,215,"4,72%",4490,4300,190,"4,23%","10,41%",
Paim Filho/RS,RS,431360,3453,3189,264,"7,65%",3167,3033,134,"4,23%","44,66%",
Tapiratiba/SP,SP,355360,10088,9454,634,"6,28%",9892,9473,419,"4,24%","32,60%",
Rio das Antas/SC,SC,421440,4684,4403,281,"6,00%",4956,4746,210,"4,24%","29,37%",
Jaguarão/RS,RS,431100,22099,20637,1462,"6,62%",22111,21174,937,"4,24%","35,94%",
Bicas/MG,MG,310690,10943,10202,741,"6,77%",11665,11169,496,"4,25%","37,21%",
Ibirité/MG,MG,312980,117248,110264,6984,"5,96%",135529,129773,5756,"4,25%","28,70%",
Lambari/MG,MG,313780,15274,14129,1145,"7,50%",17076,16351,725,"4,25%","43,36%",
Embu das Artes/SP,SP,351500,178567,169723,8844,"4,95%",198349,189925,8424,"4,25%","14,25%",
São Sebastião da Grama/SP,SP,355080,9487,8712,775,"8,17%",8723,8352,371,"4,25%","47,94%",
Palmitos/SC,SC,421210,12895,12006,889,"6,89%",12942,12392,550,"4,25%","38,36%",
Barra do Quaraí/RS,RS,430187,2922,2705,217,"7,43%",3225,3088,137,"4,25%","42,80%",
São Sebastião do Rio Verde/MG,MG,316490,1717,1546,171,"9,96%",1926,1844,82,"4,26%","57,25%",
Cachoeiro de Itapemirim/ES,ES,320120,147966,139459,8507,"5,75%",151579,145128,6451,"4,26%","25,98%",
Capivari do Sul/RS,RS,430467,3000,2763,237,"7,90%",3261,3122,139,"4,26%","46,04%",
São Gabriel do Oeste/MS,MS,500769,16592,15643,949,"5,72%",22697,21729,968,"4,26%","25,43%",
Cordeiro/RJ,RJ,330150,16070,15131,939,"5,84%",17063,16334,729,"4,27%","26,88%",35
Saquarema/RJ,RJ,330550,57712,54099,3613,"6,26%",73437,70299,3138,"4,27%","31,74%",36
Duartina/SP,SP,351450,9931,9249,682,"6,87%",10357,9915,442,"4,27%","37,86%",
Apucarana/PR,PR,410140,94916,89316,5600,"5,90%",105512,101010,4502,"4,27%","27,68%",
São José do Alegre/MG,MG,316320,3081,2789,292,"9,48%",3389,3244,145,"4,28%","54,86%",
Rafard/SP,SP,354210,6758,6438,320,"4,74%",7268,6957,311,"4,28%","9,63%",
Viradouro/SP,SP,355680,13571,12669,902,"6,65%",14152,13546,606,"4,28%","35,57%",
Cambé/PR,PR,410370,75463,70640,4823,"6,39%",87628,83881,3747,"4,28%","33,10%",
Guaraciaba/SC,SC,420640,8532,7970,562,"6,59%",9059,8671,388,"4,28%","34,98%",
Santa Rosa do Sul/SC,SC,421565,6198,5788,410,"6,62%",7851,7515,336,"4,28%","35,30%",
Sete de Setembro/RS,RS,432057,1762,1674,88,"4,99%",1589,1521,68,"4,28%","14,31%",
Barão de Cocais/MG,MG,310540,21776,20758,1018,"4,67%",24863,23796,1067,"4,29%","8,20%",
Rubinéia/SP,SP,354450,2336,2171,165,"7,06%",3214,3076,138,"4,29%","39,21%",
Rebouças/PR,PR,412150,10631,9903,728,"6,85%",11652,11152,500,"4,29%","37,34%",
Fraiburgo/SC,SC,420550,25372,23704,1668,"6,57%",26560,25420,1140,"4,29%","34,71%",
Iguatama/MG,MG,313030,6586,6220,366,"5,56%",5678,5434,244,"4,30%","22,67%",
David Canabarro/RS,RS,430630,3805,3525,280,"7,36%",3675,3517,158,"4,30%","41,58%",
Entre-Ijuís/RS,RS,430693,7157,6721,436,"6,09%",7613,7286,327,"4,30%","29,49%",
Júlio de Castilhos/RS,RS,431120,15109,14255,854,"5,65%",14985,14341,644,"4,30%","23,97%",
São Luiz Gonzaga/RS,RS,431890,27235,25410,1825,"6,70%",28362,27142,1220,"4,30%","35,81%",
Campo Novo do Parecis/MT,MT,510263,20039,18930,1109,"5,53%",34226,32755,1471,"4,30%","22,34%",
Lavrinhas/SP,SP,352660,4853,4546,307,"6,33%",5636,5393,243,"4,31%","31,84%",
Barra do Garças/MT,MT,510180,43059,39941,3118,"7,24%",54736,52377,2359,"4,31%","40,48%",
Paraná,PR,#N/A,8053026,7546912,506096,"6,28%",9249083,8850749,398334,"4,31%","31,47%",
Iraceminha/SC,SC,420775,3336,3099,237,"7,10%",3331,3187,144,"4,32%","39,15%",
Otacílio Costa/SC,SC,421175,12233,11422,811,"6,63%",13695,13103,592,"4,32%","34,80%",
Triunfo/RS,RS,432200,19743,18457,1286,"6,51%",22093,21138,955,"4,32%","33,64%",
Coronel Fabriciano/MG,MG,311940,80436,75565,4871,"6,06%",85296,81601,3695,"4,33%","28,47%",
Montes Claros/MG,MG,314330,276972,259661,17311,"6,25%",333281,318843,14438,"4,33%","30,69%",
Santa Cruz da Esperança/SP,SP,354625,1484,1396,88,"5,93%",1709,1635,74,"4,33%","26,98%",
Santo Antônio do Pinhal/SP,SP,354820,4936,4539,397,"8,04%",5883,5628,255,"4,33%","46,11%",
Sarapuí/SP,SP,355110,6766,6173,593,"8,76%",8332,7971,361,"4,33%","50,56%",
Pescaria Brava/SC,SC,421265,...,...,...,#VALOR!,8414,8050,364,"4,33%",#VALOR!,
André da Rocha/RS,RS,430066,975,910,65,"6,67%",946,905,41,"4,33%","34,99%",
Bilac/SP,SP,350640,5812,5361,451,"7,76%",6099,5834,265,"4,34%","44,01%",
Luís Antônio/SP,SP,352760,8401,7890,511,"6,08%",9736,9313,423,"4,34%","28,57%",
Tiradentes/MG,MG,316880,5545,5219,326,"5,88%",6431,6151,280,"4,35%","25,94%",
Ipumirim/SC,SC,420770,5781,5486,295,"5,10%",6395,6117,278,"4,35%","14,81%",
Caiçara/RS,RS,430340,4085,3775,310,"7,59%",4091,3913,178,"4,35%","42,66%",
Dom Pedrito/RS,RS,430660,30455,28634,1821,"5,98%",30627,29296,1331,"4,35%","27,32%",
Santa Cecília do Sul/RS,RS,431673,1345,1276,69,"5,13%",1380,1320,60,"4,35%","15,25%",
Porto Velho/RO,RO,110020,314838,298753,16064,"5,10%",356614,341070,15544,"4,36%","14,57%",
Coronel Xavier Chaves/MG,MG,311970,2605,2449,156,"5,99%",2890,2764,126,"4,36%","27,20%",
Águas de Santa Bárbara/SP,SP,350055,4337,4114,223,"5,14%",5843,5588,255,"4,36%","15,12%",
Santo Antônio da Alegria/SP,SP,354790,5013,4731,282,"5,63%",5522,5281,241,"4,36%","22,42%",
Vargem Grande do Sul/SP,SP,355640,30676,28864,1812,"5,91%",32937,31501,1436,"4,36%","26,19%",
Glorinha/RS,RS,430905,5473,5031,442,"8,08%",6245,5973,272,"4,36%","46,07%",
Boa Vista do Ramos/AM,AM,130068,8771,8072,699,"7,97%",16390,15674,716,"4,37%","45,18%",
Pains/MG,MG,314650,6364,5892,472,"7,42%",6872,6572,300,"4,37%","41,14%",
Bom Jesus dos Perdões/SP,SP,350710,14962,14014,948,"6,34%",17739,16964,775,"4,37%","31,05%",
Potirendaba/SP,SP,354080,12652,11780,872,"6,89%",15082,14423,659,"4,37%","36,60%",
Barra do Rio Azul/RS,RS,430192,1683,1549,134,"7,96%",1488,1423,65,"4,37%","45,14%",
Independência/RS,RS,431040,5286,4866,420,"7,95%",5352,5118,234,"4,37%","44,97%",
Santa Adélia/SP,SP,354560,11362,10495,867,"7,63%",11647,11137,510,"4,38%","42,62%",
São Sebastião/SP,SP,355070,55856,52586,3270,"5,85%",64776,61937,2839,"4,38%","25,14%",
Boa Vista do Sul/RS,RS,430225,2404,2227,177,"7,36%",2421,2315,106,"4,38%","40,53%",
Marques de Souza/RS,RS,431205,3443,3205,238,"6,91%",3400,3251,149,"4,38%","36,60%",
Marituba/PA,PA,150442,77106,73449,3657,"4,74%",86724,82921,3803,"4,39%","7,54%",
Itararé/SP,SP,352320,36117,33767,2350,"6,51%",35880,34306,1574,"4,39%","32,58%",
Regente Feijó/SP,SP,354240,14712,13633,1079,"7,33%",16605,15876,729,"4,39%","40,14%",
Bela Vista do Toldo/SC,SC,420213,4457,4213,244,"5,47%",4694,4488,206,"4,39%","19,84%",
Constantina/RS,RS,430580,7785,7142,643,"8,26%",8513,8139,374,"4,39%","46,81%",
Anchieta/ES,ES,320040,18404,17162,1242,"6,75%",24130,23068,1062,"4,40%","34,78%",
Pirapozinho/SP,SP,353920,19458,17998,1460,"7,50%",20830,19914,916,"4,40%","41,39%",
Nova Erechim/SC,SC,421140,3362,3169,193,"5,74%",4204,4019,185,"4,40%","23,34%",
Petrolândia/SC,SC,421270,4828,4464,364,"7,54%",5455,5215,240,"4,40%","41,64%",
Guarani das Missões/RS,RS,430950,6610,6280,330,"4,99%",6341,6062,279,"4,40%","11,87%",
Maracaju/MS,MS,500540,27884,25871,2013,"7,22%",34950,33412,1538,"4,40%","39,04%",
Sapezal/MT,MT,510787,13098,12357,741,"5,66%",21686,20731,955,"4,40%","22,16%",
Itapeva/SP,SP,352240,65221,61165,4056,"6,22%",71983,68805,3178,"4,41%","29,01%",
Piranguinho/MG,MG,315100,6183,5713,470,"7,60%",7402,7075,327,"4,42%","41,88%",
Angra dos Reis/RJ,RJ,330010,128176,121593,6583,"5,14%",133574,127676,5898,"4,42%","14,03%",37
Capela do Alto/SP,SP,351030,13146,12227,919,"6,99%",18488,17670,818,"4,42%","36,71%",
Monte Mor/SP,SP,353180,37105,34485,2620,"7,06%",51122,48860,2262,"4,42%","37,34%",
Vitorino/PR,PR,412870,4996,4711,285,"5,70%",7428,7100,328,"4,42%","22,59%",
Salto Veloso/SC,SC,421540,3368,3121,247,"7,33%",3552,3395,157,"4,42%","39,73%",
Arroio dos Ratos/RS,RS,430110,10592,9839,753,"7,11%",11924,11397,527,"4,42%","37,83%",
Eugênio de Castro/RS,RS,430783,2265,2118,147,"6,49%",2238,2139,99,"4,42%","31,84%",
Gurupi/TO,TO,170950,57727,54036,3691,"6,39%",67285,64301,2984,"4,43%","30,64%",
Madre de Deus/BA,BA,291992,13209,12514,695,"5,26%",14904,14244,660,"4,43%","15,84%",
Casimiro de Abreu/RJ,RJ,330130,27045,25154,1891,"6,99%",36585,34965,1620,"4,43%","36,67%",38
Piraí do Sul/PR,PR,411940,17347,16185,1162,"6,70%",18583,17760,823,"4,43%","33,88%",
Teixeira Soares/PR,PR,412700,7515,7102,413,"5,50%",7609,7272,337,"4,43%","19,41%",
Fazenda Vilanova/RS,RS,430807,2862,2692,170,"5,94%",3433,3281,152,"4,43%","25,46%",
Viadutos/RS,RS,432290,4463,4220,243,"5,44%",4130,3947,183,"4,43%","18,62%",
Guaiçara/SP,SP,351720,8216,7661,555,"6,76%",8947,8550,397,"4,44%","34,31%",
Ipeúna/SP,SP,352110,4554,4291,263,"5,78%",5518,5273,245,"4,44%","23,12%",
Itajobi/SP,SP,352190,12037,11120,917,"7,62%",14113,13486,627,"4,44%","41,68%",
Modelo/SC,SC,421090,3176,2967,209,"6,58%",3355,3206,149,"4,44%","32,51%",
Nova Itaberaba/SC,SC,421145,3263,2966,297,"9,10%",3713,3548,165,"4,44%","51,18%",
Três Barras/SC,SC,421830,13040,12191,849,"6,51%",15123,14452,671,"4,44%","31,85%",
Capela de Santana/RS,RS,430468,8764,8258,506,"5,77%",8993,8594,399,"4,44%","23,15%",
Caldas Novas/GO,GO,520450,53352,50378,2974,"5,57%",78224,74749,3475,"4,44%","20,31%",
Caxambu/MG,MG,311550,17159,16134,1025,"5,97%",17603,16820,783,"4,45%","25,54%",
Analândia/SP,SP,350200,3343,3122,221,"6,61%",3704,3539,165,"4,45%","32,62%",
Cesário Lange/SP,SP,351160,12138,11477,661,"5,45%",15415,14727,688,"4,46%","18,04%",
Marialva/PR,PR,411480,25337,23606,1731,"6,83%",33777,32270,1507,"4,46%","34,69%",
Jacutinga/MG,MG,313490,17806,16539,1267,"7,12%",20886,19952,934,"4,47%","37,15%",
Serrana/SP,SP,355150,29311,27432,1879,"6,41%",34958,33396,1562,"4,47%","30,30%",
Taguaí/SP,SP,355300,8294,7683,611,"7,37%",10047,9598,449,"4,47%","39,34%",
Itaguajé/PR,PR,411090,3487,3090,397,"11,39%",3559,3400,159,"4,47%","60,76%",
Lindóia do Sul/SC,SC,420985,3732,3529,203,"5,44%",3757,3589,168,"4,47%","17,79%",
Barroso/MG,MG,310590,15221,14240,981,"6,45%",16601,15857,744,"4,48%","30,46%",
Matias Barbosa/MG,MG,314080,10638,9940,698,"6,56%",11818,11289,529,"4,48%","31,78%",
Magé/RJ,RJ,330250,171167,161036,10131,"5,92%",181855,173715,8140,"4,48%","24,37%",39
Itapecerica da Serra/SP,SP,352220,113458,107087,6371,"5,62%",125238,119622,5616,"4,48%","20,14%",
Ipê/RS,RS,431043,4921,4611,310,"6,30%",4616,4409,207,"4,48%","28,81%",
Várzea Grande/MT,MT,510840,187968,176921,11047,"5,88%",231262,220898,10364,"4,48%","23,75%",
Coronel Vivida/PR,PR,410650,16863,15480,1383,"8,20%",18781,17937,844,"4,49%","45,21%",
Candiota/RS,RS,430435,6519,6162,357,"5,48%",8440,8061,379,"4,49%","18,00%",
Campo Verde/MT,MT,510267,23047,21587,1460,"6,33%",34119,32587,1532,"4,49%","29,12%",
Armazém/SC,SC,420150,6085,5732,353,"5,80%",7117,6797,320,"4,50%","22,49%",
Vazante/MG,MG,317100,15203,14083,1120,"7,37%",16329,15593,736,"4,51%","38,82%",
Socorro/SP,SP,355210,29889,27838,2051,"6,86%",33804,32279,1525,"4,51%","34,26%",
Garuva/SC,SC,420580,10758,10156,597,"5,55%",14268,13625,643,"4,51%","18,79%",
Mata/RS,RS,431210,4124,3814,310,"7,52%",3988,3808,180,"4,51%","39,96%",
São Vicente do Sul/RS,RS,431980,6603,6107,496,"7,51%",6720,6417,303,"4,51%","39,97%",
Taquari/RS,RS,432130,20601,19273,1328,"6,45%",20584,19655,929,"4,51%","29,99%",
Ceres/GO,GO,520540,16488,15236,1252,"7,59%",18211,17389,822,"4,51%","40,56%",
Colina/SP,SP,351200,13766,12912,854,"6,20%",15072,14391,681,"4,52%","27,17%",
Presidente Bernardes/SP,SP,354120,11184,10339,845,"7,56%",12589,12020,569,"4,52%","40,18%",
Agudo/RS,RS,430010,13521,12604,917,"6,78%",13526,12914,612,"4,52%","33,29%",
Ibiraiaras/RS,RS,430990,5683,5343,340,"5,98%",5688,5431,257,"4,52%","24,48%",
Novo Xingu/RS,RS,431346,1468,1387,81,"5,52%",1393,1330,63,"4,52%","18,03%",
Carandaí/MG,MG,311320,18215,16890,1325,"7,27%",19657,18767,890,"4,53%","37,76%",
Mariana/MG,MG,314000,41520,38787,2733,"6,58%",49541,47295,2246,"4,53%","31,12%",
Cariacica/ES,ES,320130,263801,247752,16049,"6,08%",280383,267687,12696,"4,53%","25,57%",
Indiana/SP,SP,352060,3898,3641,257,"6,59%",4195,4005,190,"4,53%","31,30%",
Nuporanga/SP,SP,353360,5424,5117,307,"5,66%",6001,5729,272,"4,53%","19,92%",
Paranavaí/PR,PR,411840,64263,59756,4507,"7,01%",74330,70966,3364,"4,53%","35,47%",
Itá/SC,SC,420800,5027,4720,307,"6,11%",5825,5561,264,"4,53%","25,79%",
Terra de Areia/RS,RS,432143,7672,7116,556,"7,25%",8355,7976,379,"4,54%","37,41%",
Piúma/ES,ES,320420,13818,12766,1052,"7,61%",17846,17034,812,"4,55%","40,24%",
Américo de Campos/SP,SP,350180,4611,4252,359,"7,79%",4948,4723,225,"4,55%","41,59%",
Cubatão/SP,SP,351350,90068,85275,4793,"5,32%",89695,85617,4078,"4,55%","14,56%",
Rifaina/SP,SP,354360,2717,2533,184,"6,77%",3338,3186,152,"4,55%","32,76%",
Giruá/RS,RS,430900,13606,12694,912,"6,70%",13239,12637,602,"4,55%","32,16%",
Ipaussu/SP,SP,352090,10442,9709,733,"7,02%",11037,10534,503,"4,56%","35,08%",
Ituverava/SP,SP,352410,30797,28773,2024,"6,57%",31231,29808,1423,"4,56%","30,67%",
São Manuel/SP,SP,355010,29980,27865,2115,"7,05%",30610,29214,1396,"4,56%","35,35%",
Tapera/RS,RS,432100,8327,7896,431,"5,18%",8734,8336,398,"4,56%","11,96%",
Rondonópolis/MT,MT,510760,148947,138239,10708,"7,19%",190606,181914,8692,"4,56%","36,57%",
Embu-Guaçu/SP,SP,351510,46756,43918,2838,"6,07%",53272,50840,2432,"4,57%","24,79%",
São Joaquim/SC,SC,421650,19154,18036,1118,"5,84%",20684,19738,946,"4,57%","21,64%",
Lagoa da Prata/MG,MG,313720,35652,33340,2312,"6,48%",42380,40440,1940,"4,58%","29,41%",
Rio Acima/MG,MG,315480,7030,6527,503,"7,16%",8403,8018,385,"4,58%","35,97%",
Cerqueira César/SP,SP,351140,13490,12590,900,"6,67%",17375,16579,796,"4,58%","31,33%",
Piedade/SP,SP,353780,40229,36760,3469,"8,62%",43495,41503,1992,"4,58%","46,89%",
Serranópolis do Iguaçu/PR,PR,412635,3687,3537,150,"4,07%",4124,3935,189,"4,58%","-12,65%",
Estrela Velha/RS,RS,430781,2862,2606,256,"8,94%",2534,2418,116,"4,58%","48,82%",
Tupanciretã/RS,RS,432220,17028,16102,926,"5,44%",16275,15529,746,"4,58%","15,71%",
Oliveira/MG,MG,314560,31161,29255,1906,"6,12%",33036,31518,1518,"4,59%","24,88%",
Alambari/SP,SP,350075,3651,3411,240,"6,57%",4920,4694,226,"4,59%","30,12%",
Artur Nogueira/SP,SP,350380,34032,32143,1889,"5,55%",41604,39695,1909,"4,59%","17,33%",
Zortéa/SC,SC,421985,2286,2122,164,"7,17%",3075,2934,141,"4,59%","36,08%",
Frutal/MG,MG,312710,42485,39710,2775,"6,53%",47537,45348,2189,"4,60%","29,50%",
Nova Aliança/SP,SP,353280,4708,4438,270,"5,73%",5484,5232,252,"4,60%","19,87%",
Capanema/PR,PR,410450,14602,13533,1069,"7,32%",16724,15955,769,"4,60%","37,19%",
Boa Vista das Missões/RS,RS,430215,1623,1477,146,"9,00%",1586,1513,73,"4,60%","48,83%",
Chiapetta/RS,RS,430540,3180,2981,199,"6,26%",3195,3048,147,"4,60%","26,48%",
Santarém/PA,PA,150680,201604,186681,14923,"7,40%",248196,236751,11445,"4,61%","37,70%",
Icém/SP,SP,351980,5816,5406,410,"7,05%",6574,6271,303,"4,61%","34,62%",
Paraguaçu Paulista/SP,SP,353550,33209,30976,2233,"6,72%",33547,32001,1546,"4,61%","31,46%",
Pederneiras/SP,SP,353670,31970,29851,2119,"6,63%",36422,34743,1679,"4,61%","30,45%",
Pirapora do Bom Jesus/SP,SP,353910,11167,10506,661,"5,92%",14194,13539,655,"4,61%","22,04%",
Itabira/MG,MG,313170,85892,80449,5443,"6,34%",92760,88471,4289,"4,62%","27,04%",
Comendador Levy Gasparian/RJ,RJ,330095,6370,5901,469,"7,36%",7063,6737,326,"4,62%","37,31%",40
Leme/SP,SP,352670,71151,66002,5149,"7,24%",80170,76469,3701,"4,62%","36,21%",
Queluz/SP,SP,354190,8667,8102,565,"6,52%",7365,7025,340,"4,62%","29,18%",
Juruaia/MG,MG,313690,7145,6686,459,"6,42%",9070,8650,420,"4,63%","27,92%",
Tigrinhos/SC,SC,421795,1413,1268,145,"10,26%",1858,1772,86,"4,63%","54,89%",
Itaqui/RS,RS,431060,28605,26812,1793,"6,27%",28450,27134,1316,"4,63%","26,20%",
Fartura/SP,SP,351540,12028,11242,786,"6,53%",13645,13012,633,"4,64%","29,01%",
Caetanópolis/MG,MG,310990,8102,7682,420,"5,18%",9479,9038,441,"4,65%","10,25%",
Monte Sião/MG,MG,314340,16831,15615,1216,"7,22%",19961,19032,929,"4,65%","35,58%",
Campo Mourão/PR,PR,410430,68031,63059,4972,"7,31%",80387,76653,3734,"4,65%","36,44%",
Monte Castelo/SC,SC,421110,6098,5648,450,"7,38%",6104,5820,284,"4,65%","36,95%",
Corumbá/MS,MS,500320,74922,70159,4763,"6,36%",73365,69953,3412,"4,65%","26,84%",
Valparaíso/SP,SP,355630,17992,16679,1313,"7,30%",19771,18850,921,"4,66%","36,17%",
Águas Mornas/SC,SC,420060,4450,4190,260,"5,84%",5618,5356,262,"4,66%","20,18%",
Jaborá/SC,SC,420860,3266,3028,238,"7,29%",3517,3353,164,"4,66%","36,01%",
São Sebastião do Paraíso/MG,MG,316470,50811,47545,3266,"6,43%",58895,56144,2751,"4,67%","27,33%",
Araruama/RJ,RJ,330020,86544,80125,6419,"7,42%",105649,100718,4931,"4,67%","37,07%",41
Paraíba do Sul/RJ,RJ,330370,31849,29918,1931,"6,06%",34065,32475,1590,"4,67%","23,02%",42
Seropédica/RJ,RJ,330555,59711,56190,3521,"5,90%",64263,61261,3002,"4,67%","20,78%",43
Restinga/SP,SP,354270,4827,4393,434,"8,99%",5075,4838,237,"4,67%","48,06%",
São Lourenço do Oeste/SC,SC,421690,16897,15765,1132,"6,70%",20072,19135,937,"4,67%","30,32%",
Maquiné/RS,RS,431177,5394,4982,412,"7,64%",6146,5859,287,"4,67%","38,86%",
Senador Salgado Filho/RS,RS,432032,2286,2148,138,"6,04%",2270,2164,106,"4,67%","22,65%",
Rio Verde/GO,GO,521880,135202,126480,8722,"6,45%",178228,169900,8328,"4,67%","27,57%",
Luís Eduardo Magalhães/BA,BA,291955,42371,39291,3080,"7,27%",80224,76468,3756,"4,68%","35,59%",
Formiga/MG,MG,312610,52709,49469,3240,"6,15%",57700,54998,2702,"4,68%","23,82%",
Valença/RJ,RJ,330610,56573,53176,3397,"6,00%",56444,53797,2647,"4,69%","21,90%",44
Cândido Mota/SP,SP,351000,23699,22054,1645,"6,94%",24244,23108,1136,"4,69%","32,49%",
Arvorezinha/RS,RS,430140,8152,7478,674,"8,27%",8640,8235,405,"4,69%","43,30%",
Putinga/RS,RS,431520,3442,3139,303,"8,80%",3243,3091,152,"4,69%","46,76%",
Sertão Santana/RS,RS,432055,4643,4311,332,"7,15%",4991,4757,234,"4,69%","34,43%",
Pirapora/MG,MG,315120,39937,37157,2780,"6,96%",43920,41856,2064,"4,70%","32,49%",
Santa Bárbara/MG,MG,315720,21352,20113,1239,"5,80%",24529,23375,1154,"4,70%","18,92%",
Itaquaquecetuba/SP,SP,352310,232337,219187,13150,"5,66%",287064,273576,13488,"4,70%","16,98%",
Mirassolândia/SP,SP,353040,3399,3097,302,"8,88%",3806,3627,179,"4,70%","47,07%",
Lagoa Dourada/MG,MG,313740,9326,8779,547,"5,87%",10383,9894,489,"4,71%","19,70%",
Pouso Alto/MG,MG,315260,5029,4601,428,"8,51%",5515,5255,260,"4,71%","44,61%",
Paraty/RJ,RJ,330380,27964,25649,2315,"8,28%",36124,34424,1700,"4,71%","43,15%",45
Presidente Venceslau/SP,SP,354150,30926,28873,2053,"6,64%",29696,28296,1400,"4,71%","28,98%",
São João do Sul/SC,SC,421640,5454,5034,420,"7,70%",6987,6658,329,"4,71%","38,85%",
Japaraíba/MG,MG,313530,2973,2763,210,"7,06%",3582,3413,169,"4,72%","33,21%",
Sacramento/MG,MG,315690,18785,17581,1204,"6,41%",21684,20661,1023,"4,72%","26,39%",
Cananéia/SP,SP,350990,9001,8316,685,"7,61%",9889,9422,467,"4,72%","37,95%",
Junqueirópolis/SP,SP,352600,15380,14151,1229,"7,99%",17030,16227,803,"4,72%","40,99%",
Sobradinho/RS,RS,432070,11288,10541,747,"6,62%",11757,11202,555,"4,72%","28,67%",
Resende Costa/MG,MG,315420,8651,8138,513,"5,93%",9432,8986,446,"4,73%","20,26%",
Mirandópolis/SP,SP,353010,22921,21272,1649,"7,19%",24143,23001,1142,"4,73%","34,25%",
Urupês/SP,SP,355600,10486,9779,707,"6,74%",11584,11036,548,"4,73%","29,84%",
Bela Vista de Minas/MG,MG,310600,7573,7049,524,"6,92%",8248,7857,391,"4,74%","31,49%",
Guapiaçu/SP,SP,351750,14423,13411,1012,"7,02%",17653,16817,836,"4,74%","32,51%",
Jataí/GO,GO,521190,67071,62284,4787,"7,14%",84284,80289,3995,"4,74%","33,59%",
Vilhena/RO,RO,110030,56067,52657,3410,"6,08%",74942,71379,3563,"4,75%","21,83%",
Guaxupé/MG,MG,312870,39436,37033,2403,"6,09%",42330,40318,2012,"4,75%","22,00%",
Potim/SP,SP,354075,14951,14263,688,"4,60%",16575,15787,788,"4,75%","-3,31%",
Xavantina/SC,SC,421960,3371,3153,218,"6,47%",3115,2967,148,"4,75%","26,53%",
Paracatu/MG,MG,314700,62709,57965,4744,"7,57%",74770,71214,3556,"4,76%","37,13%",
Paraopeba/MG,MG,314740,17138,16091,1047,"6,11%",19651,18716,935,"4,76%","22,12%",
Charqueada/SP,SP,351170,11705,10882,823,"7,03%",12547,11950,597,"4,76%","32,33%",
Pereiras/SP,SP,353750,5788,5408,380,"6,57%",7018,6684,334,"4,76%","27,51%",
São Francisco de Paula/RS,RS,431820,15560,14400,1160,"7,46%",17742,16897,845,"4,76%","36,11%",
Carmo do Cajuru/MG,MG,311420,15428,14444,984,"6,38%",19135,18222,913,"4,77%","25,19%",
Dores de Campos/MG,MG,312300,7400,6875,525,"7,09%",8337,7939,398,"4,77%","32,71%",
Santo Antônio do Monte/MG,MG,316040,20126,18838,1288,"6,40%",22252,21191,1061,"4,77%","25,49%",
Pongaí/SP,SP,354010,2901,2647,254,"8,76%",2875,2738,137,"4,77%","45,58%",
Protásio Alves/RS,RS,431517,1684,1567,117,"6,95%",1720,1638,82,"4,77%","31,38%",
Mário Campos/MG,MG,314015,9742,8951,791,"8,12%",12563,11963,600,"4,78%","41,18%",
