Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Reserva,PR,Reserva/PR,412170,24573,"10,78%","34,53%","34,89%"
Santa Cruz da Conceição,SP,Santa Cruz da Conceição/SP,354620,4277,"0,00%","34,53%","6,48%"
Serra Negra,SP,Serra Negra/SP,355160,29894,"21,98%","34,53%",2%
Macedônia,SP,Macedônia/SP,352820,3963,"33,79%","34,57%","16,68%"
Santana do Seridó,RN,Santana do Seridó/RN,241142,2696,"37,95%","34,57%","7,27%"
Goioerê,PR,Goioerê/PR,410860,28437,"0,01%","34,59%","12,91%"
Carmo do Rio Claro,MG,Carmo do Rio Claro/MG,311440,20954,"32,20%","34,62%","1,09%"
Além Paraíba,MG,Além Paraíba/MG,310150,30717,"8,71%","34,62%","6,97%"
Guaraí,TO,Guaraí/TO,170930,24775,"8,93%","34,62%","2,80%"
Porto Nacional,TO,Porto Nacional/TO,171820,64418,"13,65%","34,66%","4,70%"
Luís Eduardo Magalhães,BA,Luís Eduardo Magalhães/BA,291955,107909,"8,84%","34,67%","3,31%"
Pirapetinga,MG,Pirapetinga/MG,315110,11077,"28,14%","34,68%","11,92%"
Acaiaca,MG,Acaiaca/MG,310040,3909,0%,"34,69%",0%
José Raydan,MG,José Raydan/MG,313655,4268,"64,18%","34,70%","48,69%"
Itamarandiba,MG,Itamarandiba/MG,313250,32948,"23,02%","34,73%","20,12%"
Arroio Trinta,SC,Arroio Trinta/SC,420160,3556,"7,42%","34,76%","31,55%"
Caratinga,MG,Caratinga/MG,311340,87360,"21,41%","34,78%","8,42%"
Chã Grande,PE,Chã Grande/PE,260450,20546,"28,29%","34,78%","12,39%"
Vassouras,RJ,Vassouras/RJ,330620,33976,"3,51%","34,87%",0%
Santana de Parnaíba,SP,Santana de Parnaíba/SP,354730,154105,"1,67%","34,89%",0%
Iporá,GO,Iporá/GO,521020,35684,"17,22%","34,96%","9,75%"
Rio das Flores,RJ,Rio das Flores/RJ,330450,8954,"26,92%","34,96%","27,03%"
Suzanápolis,SP,Suzanápolis/SP,355255,3408,"35,06%","35,06%","2,73%"
São Sebastião do Umbuzeiro,PB,São Sebastião do Umbuzeiro/PB,251520,3279,"29,86%","35,16%","40,77%"
Indianópolis,MG,Indianópolis/MG,313070,6171,"35,18%","35,18%",0%
Guia Lopes da Laguna,MS,Guia Lopes da Laguna/MS,500410,9940,"16,34%","35,22%",--
Guadalupe,PI,Guadalupe/PI,220450,10270,"4,70%","35,30%",--
Matozinhos,MG,Matozinhos/MG,314110,37618,"16,66%","35,34%","10,73%"
Tibagi,PR,Tibagi/PR,412750,19961,"11,49%","35,35%","4,40%"
Ibirapitanga,BA,Ibirapitanga/BA,291270,25344,"43,49%","35,38%","68,36%"
Florianópolis,SC,Florianópolis/SC,420540,537211,"1,87%","35,43%",0%
Cristiano Otoni,MG,Cristiano Otoni/MG,312040,4667,"17,40%","35,44%","1,44%"
Imbituva,PR,Imbituva/PR,411010,29924,"7,49%","35,46%","16,46%"
Itaí,SP,Itaí/SP,352180,25180,"34,81%","35,53%","11,16%"
Veredinha,MG,Veredinha/MG,317107,5181,"8,74%","35,67%","32,50%"
Tanguá,RJ,Tanguá/RJ,330575,31086,"43,65%","35,68%","2,85%"
Bagé,RS,Bagé/RS,430160,117938,"19,67%","35,74%","4,04%"
Teófilo Otoni,MG,Teófilo Otoni/MG,316860,137418,"28,84%","35,80%","1,76%"
Estrela do Indaiá,MG,Estrela do Indaiá/MG,312470,2772,"21,25%","35,82%","21,25%"
Rosário da Limeira,MG,Rosário da Limeira/MG,315645,4734,"47,70%","35,83%","21,42%"
Contenda,PR,Contenda/PR,410620,19128,"5,23%","35,88%",10%
Sooretama,ES,Sooretama/ES,320501,26502,"16,46%","27,22%","16,99%"
Itá,SC,Itá/SC,420800,7067,"21,75%","35,90%","26,42%"
Jurema,PE,Jurema/PE,260840,13648,0%,"35,92%","35,92%"
Consolação,MG,Consolação/MG,311850,1563,"35,96%","35,96%","0,83%"
Jacuí,MG,Jacuí/MG,313480,7495,"38,92%","36,02%","3,74%"
Buenópolis,MG,Buenópolis/MG,310920,9150,"29,37%","36,03%","15,53%"
Conchas,SP,Conchas/SP,351230,15232,"25,65%","36,04%",5%
Carangola,MG,Carangola/MG,311330,31240,"19,31%","36,11%","20,51%"
Virgem da Lapa,MG,Virgem da Lapa/MG,317160,11804,"38,14%","36,12%","51,02%"
Senador Cortes,MG,Senador Cortes/MG,316560,2240,"31,70%","36,16%","24,06%"
Rolândia,PR,Rolândia/PR,412240,71670,"0,01%","36,25%","4,67%"
São Miguel do Iguaçu,PR,São Miguel do Iguaçu/PR,412570,29122,"8,70%","36,41%","35,67%"
Japaraíba,MG,Japaraíba/MG,313530,4506,"1,11%","36,42%",0%
Alcinópolis,MS,Alcinópolis/MS,500025,4537,"30,09%","36,43%",0%
Arapeí,SP,Arapeí/SP,350315,2330,"21,93%","36,44%",0%
Capão Bonito do Sul,RS,Capão Bonito do Sul/RS,430462,1733,"0,52%","36,53%","48,64%"
Francisco Sá,MG,Francisco Sá/MG,312670,23476,"30,96%","36,54%","16,60%"
Prata,PB,Prata/PB,251220,3915,"31,44%","36,58%","36,58%"
Marialva,PR,Marialva/PR,411480,41851,"14,45%","36,62%","9,31%"
Altônia,PR,Altônia/PR,410050,18742,"0,01%","36,64%","28,77%"
Bertioga,SP,Bertioga/SP,350635,64188,"17,48%","36,67%","1,07%"
Catalão,GO,Catalão/GO,520510,114427,"9,56%","36,69%","7,54%"
Jandaia do Sul,PR,Jandaia do Sul/PR,411210,21408,"0,01%","36,71%","2,81%"
Fernandes Tourinho,MG,Fernandes Tourinho/MG,312580,2789,"36,72%","36,72%","21,12%"
Joanópolis,SP,Joanópolis/SP,352550,12815,"32,74%","36,73%",0%
Wenceslau Braz,PR,Wenceslau Braz/PR,412850,19188,"0,01%","36,74%","11,11%"
Araruna,PR,Araruna/PR,410170,14485,"0,01%","36,74%","21,86%"
Jerônimo Monteiro,ES,Jerônimo Monteiro/ES,320310,11575,"16,87%","16,87%","28,73%"
Santo Inácio,PR,Santo Inácio/PR,412450,6181,"0,02%","36,76%","20,26%"
Itaporanga,SP,Itaporanga/SP,352280,14085,"24,56%","36,80%","6,28%"
Óleo,SP,Óleo/SP,353380,2512,"26,67%","36,82%","34,16%"
Lajedo,PE,Lajedo/PE,260880,39582,0%,"36,84%","26,73%"
Silvânia,GO,Silvânia/GO,522060,22245,"36,90%","36,90%","6,50%"
Nova Canaã,BA,Nova Canaã/BA,292270,13715,59%,"36,90%","52,29%"
Uru,SP,Uru/SP,355590,1387,"36,19%","36,91%","13,55%"
Gurupi,TO,Gurupi/TO,170950,85125,"2,29%","37,03%","3,79%"
Durandé,MG,Durandé/MG,312352,7817,"66,68%","37,12%","52,13%"
Conceição da Aparecida,MG,Conceição da Aparecida/MG,311710,10371,"40,59%","37,13%","34,43%"
Fortaleza,CE,Fortaleza/CE,230440,2428708,"15,94%","37,15%",0%
Pacaembu,SP,Pacaembu/SP,353490,14877,"14,75%","37,19%","18,12%"
Santa Cecília do Pavão,PR,Santa Cecília do Pavão/PR,412320,3365,"16,26%","37,21%","16,26%"
Lucrécia,RN,Lucrécia/RN,240690,3490,"31,81%","37,25%","1,15%"
Cacoal,RO,Cacoal/RO,110004,86887,"16,37%","37,28%","18,65%"
Pontes e Lacerda,MT,Pontes e Lacerda/MT,510675,52018,"11,41%","37,32%","33,37%"
Euclides da Cunha Paulista,SP,Euclides da Cunha Paulista/SP,351535,7924,"27,04%","37,33%",--
Panelas,PE,Panelas/PE,261020,22991,"19,88%","37,38%","4,31%"
Rio Negro,PR,Rio Negro/PR,412230,31324,"0,01%","37,40%","17,57%"
Pariquera-Açu,SP,Pariquera-Açu/SP,353620,19233,"31,81%","37,42%","31,26%"
Gurinhatã,MG,Gurinhatã/MG,312910,5192,"56,57%","37,46%","60,92%"
Reduto,MG,Reduto/MG,315415,7848,"4,43%","37,56%","36,29%"
Marliéria,MG,Marliéria/MG,314030,4592,10%,"37,59%","3,09%"
Riversul,SP,Riversul/SP,354350,5599,"30,01%","37,65%","10,63%"
Iaras,SP,Iaras/SP,351925,8010,"36,60%","37,67%","55,26%"
Pocrane,MG,Pocrane/MG,315190,8350,"24,55%","37,72%","6,69%"
Mâncio Lima,AC,Mâncio Lima/AC,120033,19294,"38,69%","37,80%","68,90%"
Maturéia,PB,Maturéia/PB,250939,6433,"27,14%","37,82%","32,46%"
Inhambupe,BA,Inhambupe/BA,291370,33790,"41,66%","37,85%","56,96%"
Fernando de Noronha,PE,Fernando de Noronha/PE,260545,3167,0%,"37,89%","6,95%"
Cachoeira Dourada,GO,Cachoeira Dourada/GO,520425,7782,"30,29%","37,95%",--
Capela do Alto,SP,Capela do Alto/SP,351030,22866,"22,31%","38,07%","0,82%"
Rondon,PR,Rondon/PR,412260,9097,"0,01%","38,13%","20,04%"
Pequi,MG,Pequi/MG,314960,4155,"2,72%","38,15%","22,29%"
Porto Seguro,BA,Porto Seguro/BA,292530,168326,"23,06%","38,20%","16,83%"
Santa Rosa da Serra,MG,Santa Rosa da Serra/MG,315970,3382,"38,73%","38,23%","11,30%"
Mairinque,SP,Mairinque/SP,352840,50027,"19,83%","38,27%","5,75%"
Mossoró,RN,Mossoró/RN,240800,264577,"11,15%","38,27%","1,73%"
Dona Francisca,RS,Dona Francisca/RS,430670,3079,"37,80%","38,29%",0%
Piranguinho,MG,Piranguinho/MG,315100,9120,"41,75%","38,29%","0,12%"
Itamaraju,BA,Itamaraju/BA,291560,59605,"21,20%","38,31%",0%
Rio Paranaíba,MG,Rio Paranaíba/MG,315550,14532,"47,41%","38,38%","29,67%"
Catanduvas,SC,Catanduvas/SC,420400,10566,0%,"38,43%","0,01%"
Almirante Tamandaré,PR,Almirante Tamandaré/PR,410040,119825,"0,01%","38,46%","2,23%"
Sanclerlândia,GO,Sanclerlândia/GO,521900,7918,"23,92%","38,49%","11,59%"
Areias,SP,Areias/SP,350350,3577,"38,50%","38,50%","34,30%"
Riachuelo,RN,Riachuelo/RN,241090,7389,"25,89%","38,56%",--
Cesário Lange,SP,Cesário Lange/SP,351160,19048,"22,71%","38,59%","1,24%"
Limeira do Oeste,MG,Limeira do Oeste/MG,313862,8687,"37,24%","38,66%","35,54%"
Anhembi,SP,Anhembi/SP,350230,5674,"34,58%","38,70%","0,26%"
Rebouças,PR,Rebouças/PR,412150,14514,"21,82%","38,78%",0%
Planalto Alegre,SC,Planalto Alegre/SC,421315,2946,"24,54%","38,90%","59,81%"
Salto de Pirapora,SP,Salto de Pirapora/SP,354530,43748,"10,29%","38,90%",0%
Quatiguá,PR,Quatiguá/PR,412070,8099,"0,01%","38,93%","9,63%"
São Tomé,PR,São Tomé/PR,412610,5232,"0,02%","38,97%","12,54%"
Antas,BA,Antas/BA,290160,14206,"46,98%","38,99%","36,28%"
Silvianópolis,MG,Silvianópolis/MG,316740,6179,"41,74%",39%,"41,74%"
Santo Antônio do Descoberto,GO,Santo Antônio do Descoberto/GO,521975,72127,"4,82%","39,07%","14,04%"
Aguanil,MG,Aguanil/MG,310080,4357,"32,98%","39,18%","10,49%"
São Domingos do Prata,MG,São Domingos do Prata/MG,316100,17392,"45,46%","39,32%","21,53%"
Malacacheta,MG,Malacacheta/MG,313920,17516,"32,80%","39,32%","39,26%"
João Costa,PI,João Costa/PI,220535,2970,"9,76%","39,39%","54,55%"
Cambuquira,MG,Cambuquira/MG,311070,12313,"18,20%","39,41%","7,03%"
Pocinhos,PB,Pocinhos/PB,251200,17469,"22,73%","39,44%","31,64%"
Conceição da Barra,ES,Conceição da Barra/ES,320160,27458,"17,06%","97,57%","8,21%"
Padre Paraíso,MG,Padre Paraíso/MG,314630,17334,"36,90%","39,48%","30,77%"
Senhora de Oliveira,MG,Senhora de Oliveira/MG,316600,5483,"39,54%","39,54%","3,45%"
Ipuiúna,MG,Ipuiúna/MG,313150,9135,"22,04%","39,55%",--
Jesuânia,MG,Jesuânia/MG,313590,5138,"39,63%","39,63%","27,99%"
Bom Sucesso de Itararé,SP,Bom Sucesso de Itararé/SP,350715,3555,"36,65%","39,72%","0,03%"
Quatro Irmãos,RS,Quatro Irmãos/RS,431531,1552,"39,76%","39,76%",0%
Timburi,SP,Timburi/SP,355460,2464,"38,64%","39,77%","9,01%"
Ubirajara,SP,Ubirajara/SP,355550,5132,"38,29%","39,79%","31,39%"
Pedra Branca,PB,Pedra Branca/PB,251100,3739,"15,11%","39,82%","26,99%"
Corumbataí,SP,Corumbataí/SP,351270,4195,"30,73%","39,90%","39,90%"
São Félix,BA,São Félix/BA,292900,11026,"35,49%","39,93%","18,86%"
Jardim do Seridó,RN,Jardim do Seridó/RN,240570,11655,"9,99%","39,94%","0,27%"
Batayporã,MS,Batayporã/MS,500200,10712,"20,93%","39,99%","20,13%"
Antônio Prado de Minas,MG,Antônio Prado de Minas/MG,310310,1538,"39,99%","39,99%",--
Andirá,PR,Andirá/PR,410110,19878,"4,43%",40%,"4,43%"
São José do Divino,MG,São José do Divino/MG,316330,3464,"26,27%","40,04%","9,06%"
Quaraí,RS,Quaraí/RS,431530,23500,"11,25%","40,06%","10,21%"
Ponta Porã,MS,Ponta Porã/MS,500660,92017,"22,18%","40,08%","21,39%"
Mangueirinha,PR,Mangueirinha/PR,411440,16603,"15,63%","40,14%","40,67%"
Tuneiras do Oeste,PR,Tuneiras do Oeste/PR,412790,8067,"25,55%","40,37%","12,01%"
Itaberá,SP,Itaberá/SP,352170,17983,"31,72%","40,37%","11,03%"
São Sebastião,SP,São Sebastião/SP,355070,81595,"28,87%","40,39%",0%
Nova Canaã Paulista,SP,Nova Canaã Paulista/SP,353284,2032,"37,55%","40,50%","58,42%"
Piúma,ES,Piúma/ES,320420,22300,"18,33%","49,37%","8,80%"
Manaíra,PB,Manaíra/PB,250900,10434,"20,21%","40,58%","43,91%"
Marmelópolis,MG,Marmelópolis/MG,314040,3200,"16,06%","40,63%","6,25%"
Angatuba,SP,Angatuba/SP,350220,24022,"23,81%","40,68%","0,39%"
Sertânia,PE,Sertânia/PE,261410,32811,"30,98%","40,68%","14,01%"
Senador Firmino,MG,Senador Firmino/MG,316570,7716,"1,19%","40,71%","9,28%"
Nova União,MG,Nova União/MG,313660,5909,"49,87%","40,77%","32,31%"
Nova Xavantina,MT,Nova Xavantina/MT,510625,24345,"4,12%","40,79%","11,69%"
Rio Casca,MG,Rio Casca/MG,315490,12789,"26,66%","40,82%","6,17%"
Joanésia,MG,Joanésia/MG,313610,4329,"40,82%","40,82%","49,18%"
Reserva do Iguaçu,PR,Reserva do Iguaçu/PR,412175,6553,"20,74%","40,84%","0,05%"
São Sebastião do Oeste,MG,São Sebastião do Oeste/MG,316460,8815,"58,18%","40,86%",0%
Esteio,RS,Esteio/RS,430770,76137,0%,"40,90%","2,02%"
Itacajá,TO,Itacajá/TO,171050,6819,"8,67%","40,90%","40,20%"
Ivaté,PR,Ivaté/PR,411155,6831,"0,01%","40,93%","30,96%"
Pratinha,MG,Pratinha/MG,315300,3559,"40,99%","40,99%","44,62%"
Teixeira de Freitas,BA,Teixeira de Freitas/BA,293135,145216,"7,29%","40,99%","19,12%"
Alvarenga,MG,Alvarenga/MG,310220,3975,"53,71%","41,01%","44,63%"
Santana do Manhuaçu,MG,Santana do Manhuaçu/MG,315890,8987,"64,86%","41,11%","30,64%"
Leandro Ferreira,MG,Leandro Ferreira/MG,313830,3199,"35,64%","41,11%","34,48%"
Cubatão,SP,Cubatão/SP,351350,112476,"14,11%","41,21%",0%
Montanha,ES,Montanha/ES,320350,18900,"18,49%","89,89%","24,76%"
Renascença,PR,Renascença/PR,412160,6845,"30,84%","41,23%","48,88%"
Itapecerica da Serra,SP,Itapecerica da Serra/SP,352220,158522,"11,15%","41,36%","0,52%"
Piranguçu,MG,Piranguçu/MG,315090,6041,69%,"41,37%","54,79%"
Nova Palmeira,PB,Nova Palmeira/PB,251030,4259,"52,57%","41,37%","29,51%"
Jaraguá,GO,Jaraguá/GO,521180,45223,"7,72%","41,41%","18,04%"
Pereiras,SP,Pereiras/SP,353750,8737,"33,98%","41,42%","0,89%"
Sarandi,PR,Sarandi/PR,412625,118455,0%,"41,47%",0%
Sapucaí-Mirim,MG,Sapucaí-Mirim/MG,316540,6311,"39,61%","41,47%","0,36%"
Crucilândia,MG,Crucilândia/MG,312060,5434,"41,72%","41,55%",0%
Itapecerica,MG,Itapecerica/MG,313350,21046,"24,88%","41,57%","20,18%"
Cedro,PE,Cedro/PE,260430,10518,"5,48%","41,66%","10,86%"
Jati,CE,Jati/CE,230720,7861,"46,52%","41,70%","8,15%"
Arealva,SP,Arealva/SP,350340,8130,"35,52%","41,77%","0,63%"
Pedra do Anta,MG,Pedra do Anta/MG,314880,3311,"39,84%","41,77%","41,77%"
Avaí,SP,Avaí/SP,350430,4483,"39,35%","41,78%","31,81%"
Paulistânia,SP,Paulistânia/SP,353657,2090,"39,95%","41,82%",0%
Marilândia,ES,Marilândia/ES,320335,12387,"18,50%","27,34%",0%
Terra Roxa,PR,Terra Roxa/PR,412740,18119,"4,51%","41,91%","13,46%"
Ilhéus,BA,Ilhéus/BA,291360,178649,"12,56%","41,92%","8,12%"
Pedranópolis,SP,Pedranópolis/SP,353690,2787,"40,65%","42,02%","15,25%"
Guarabira,PB,Guarabira/PB,250630,57484,0%,"42,04%","3,17%"
Pinheiros,ES,Pinheiros/ES,320410,23915,"18,60%","84,76%","16,37%"
Delmiro Gouveia,AL,Delmiro Gouveia/AL,270240,51318,"0,56%","42,09%","5,19%"
Erval Velho,SC,Erval Velho/SC,420520,4885,"13,86%","42,13%","38,59%"
Tapiraí,MG,Tapiraí/MG,316820,1690,"45,27%","42,13%","42,13%"
Aiquara,BA,Aiquara/BA,290060,4447,"41,76%","42,16%","7,60%"
Campos do Jordão,SP,Campos do Jordão/SP,350970,46974,"34,09%","42,17%","3,83%"
Corinto,MG,Corinto/MG,311910,23532,"22,76%","42,17%","13,41%"
Porto Murtinho,MS,Porto Murtinho/MS,500690,12859,"36,40%","42,19%","27,20%"
Santa Cruz do Escalvado,MG,Santa Cruz do Escalvado/MG,315740,4673,"71,37%","42,22%","33,66%"
Marabá Paulista,SP,Marabá Paulista/SP,352870,4573,"41,55%","42,23%","55,89%"
Cotia,SP,Cotia/SP,351300,274413,"6,83%","42,24%",0%
Santa Maria Madalena,RJ,Santa Maria Madalena/RJ,330460,10232,"48,56%","42,24%","6,18%"
Matupá,MT,Matupá/MT,510560,20091,"18,51%","42,25%","4,86%"
Mara Rosa,GO,Mara Rosa/GO,521280,10700,"28,59%","42,32%","25,21%"
Santa Cruz da Esperança,SP,Santa Cruz da Esperança/SP,354625,2116,"41,30%","42,34%","31,85%"
Cantagalo,PR,Cantagalo/PR,410445,10933,"0,02%","42,35%","36,30%"
Belmonte,BA,Belmonte/BA,290340,20121,"26,02%","42,36%",--
União de Minas,MG,União de Minas/MG,317043,3828,"42,14%","42,40%","6,43%"
Santos Dumont,MG,Santos Dumont/MG,316070,42406,"18,36%","42,57%","5,67%"
Peçanha,MG,Peçanha/MG,314860,17446,"48,91%","42,68%","47,56%"
São José do Mantimento,MG,São José do Mantimento/MG,316360,2753,"44,13%","42,72%","30,26%"
Morro da Garça,MG,Morro da Garça/MG,314360,2411,"47,74%","42,72%","17,71%"
Comendador Gomes,MG,Comendador Gomes/MG,311690,2773,"50,45%","42,77%","27,88%"
Castelo,ES,Castelo/ES,320140,36930,"19,66%","31,19%","13,46%"
Serra Azul,SP,Serra Azul/SP,355140,12746,"16,14%","42,88%","20,37%"
Glicério,SP,Glicério/SP,351710,4138,"41,95%","43,04%","26,46%"
São José do Calçado,ES,São José do Calçado/ES,320480,10878,"21,87%","14,69%","10,83%"
Arandu,SP,Arandu/SP,350310,6885,"42,83%","43,14%","5,29%"
Lagoa dos Patos,MG,Lagoa dos Patos/MG,313730,3313,"27,56%","43,16%","27,56%"
Aparecida,PB,Aparecida/PB,250077,7960,"38,52%","43,22%","27,46%"
Jequeri,MG,Jequeri/MG,313550,12419,"42,02%","43,23%","3,37%"
Passa Vinte,MG,Passa Vinte/MG,314780,2233,"46,35%","43,26%","0,04%"
Alumínio,SP,Alumínio/SP,350115,17301,"25,11%","43,27%","0,76%"
Piaçabuçu,AL,Piaçabuçu/AL,270680,15908,"38,38%","43,42%","24,57%"
Serra da Saudade,MG,Serra da Saudade/MG,316660,833,"40,46%","43,46%","35,05%"
Herval,RS,Herval/RS,430710,6191,"26,43%","43,47%","15,20%"
Guarapari,ES,Guarapari/ES,320240,124656,"21,92%","47,40%",0%
Divinolândia,SP,Divinolândia/SP,351390,11158,"39,25%","43,55%","10,38%"
Murutinga do Sul,SP,Murutinga do Sul/SP,353210,3737,"35,78%","43,75%","1,66%"
Queluzito,MG,Queluzito/MG,315380,1770,0%,"43,79%","40,68%"
Atibaia,SP,Atibaia/SP,350410,158647,"17,94%","43,80%",2%
São Francisco,SE,São Francisco/SE,280690,3243,"10,88%","43,85%","1,33%"
Araguapaz,GO,Araguapaz/GO,520215,7153,"22,76%","43,91%","14,99%"
Apiacá,ES,Apiacá/ES,320050,7223,"22,15%",--,--
Jacupiranga,SP,Jacupiranga/SP,352460,16097,"43,87%","43,95%","0,91%"
Nova Olímpia,PR,Nova Olímpia/PR,411720,5833,"0,02%","44,06%","14,85%"
Junco do Seridó,PB,Junco do Seridó/PB,250780,6793,"41,59%","44,06%","34,24%"
Cássia dos Coqueiros,SP,Cássia dos Coqueiros/SP,351090,2799,"42,98%","44,34%","0,82%"
Talismã,TO,Talismã/TO,172097,2456,"3,22%","44,38%","42,35%"
São José do Sabugi,PB,São José do Sabugi/PB,251470,4138,"35,67%","44,42%","35,67%"
Poço Fundo,MG,Poço Fundo/MG,315170,16390,"45,18%","44,48%","43,83%"
Caibaté,RS,Caibaté/RS,430330,4704,"43,24%","44,56%","44,56%"
Chalé,MG,Chalé/MG,311600,6075,"44,58%","44,58%","26,91%"
Ouro Preto,MG,Ouro Preto/MG,314610,74821,"15,28%","44,60%","11,58%"
Aruanã,GO,Aruanã/GO,520250,8300,"1,94%","44,64%","4,46%"
Piracaia,SP,Piracaia/SP,353860,26029,"32,92%","44,73%",0%
Ouro Verde de Minas,MG,Ouro Verde de Minas/MG,314620,5757,"41,65%","44,73%","41,25%"
Prudentópolis,PR,Prudentópolis/PR,412060,49393,"33,32%","44,74%","37,24%"
Iperó,SP,Iperó/SP,352100,36459,"28,24%","44,79%",0%
Nova Aurora,PR,Nova Aurora/PR,411670,13765,"5,06%","44,80%","16,45%"
Casimiro de Abreu,RJ,Casimiro de Abreu/RJ,330130,46110,"0,00%","44,80%",0%
Mimoso do Sul,ES,Mimoso do Sul/ES,320340,24475,"25,02%","51,54%","15,02%"
Carlos Chagas,MG,Carlos Chagas/MG,311370,18615,"32,49%","44,86%","11,25%"
Pedra Dourada,MG,Pedra Dourada/MG,314900,2757,"44,87%","44,87%","0,18%"
Miradouro,MG,Miradouro/MG,314210,8968,"44,88%","44,88%",--
Canoas,RS,Canoas/RS,430460,347657,0%,"44,91%",0%
Salto do Itararé,PR,Salto do Itararé/PR,412290,5192,"3,78%","44,95%",--
Poté,MG,Poté/MG,315240,13666,"31,22%",45%,"34,14%"
Angra dos Reis,RJ,Angra dos Reis/RJ,330010,167434,"5,25%","45,01%",5%
Camapuã,MS,Camapuã/MS,500260,13583,"34,87%","45,03%","34,21%"
Reginópolis,SP,Reginópolis/SP,354250,7662,"5,57%","45,03%","40,67%"
Brejo Grande,SE,Brejo Grande/SE,280070,7841,"16,50%","45,07%","10,73%"
Caldas Novas,GO,Caldas Novas/GO,520450,98622,"12,52%","45,08%","6,45%"
Caruaru,PE,Caruaru/PE,260410,378048,0%,"45,12%",0%
Sorriso,MT,Sorriso/MT,510792,110635,"12,26%","45,13%","6,90%"
Aperibé,RJ,Aperibé/RJ,330015,11034,"14,18%","45,17%","1,28%"
Inconfidentes,MG,Inconfidentes/MG,313060,7301,"46,95%","45,21%","0,37%"
Caracaraí,RR,Caracaraí/RR,140020,20957,"23,39%","45,24%","18,82%"
Gravatal,SC,Gravatal/SC,420620,12435,"1,25%","45,45%",10%
Cabo Verde,MG,Cabo Verde/MG,310950,11410,"45,47%","45,47%","3,59%"
Vera Cruz,RS,Vera Cruz/RS,432270,26710,"0,61%","45,53%","0,04%"
Três Barras do Paraná,PR,Três Barras do Paraná/PR,412785,11135,"21,50%","45,54%","48,42%"
Prudente de Morais,MG,Prudente de Morais/MG,315360,11466,"18,94%","45,60%","77,71%"
Várzea Nova,BA,Várzea Nova/BA,293315,13377,"30,87%","45,61%","7,16%"
São Luís,MA,São Luís/MA,211130,1037775,"7,24%","45,72%",0%
Itueta,MG,Itueta/MG,313410,6055,"45,76%","45,76%","45,76%"
Tejupá,SP,Tejupá/SP,355420,4127,"43,49%","45,77%","27,31%"
Mirante do Paranapanema,SP,Mirante do Paranapanema/SP,353020,15917,"35,67%","45,83%","42,73%"
Coronel Xavier Chaves,MG,Coronel Xavier Chaves/MG,311970,3486,"45,70%","45,90%","1,32%"
Mucajaí,RR,Mucajaí/RR,140030,18095,"33,98%","45,91%","76,21%"
Angelândia,MG,Angelândia/MG,310285,7718,"28,22%","45,93%","39,91%"
Nova Ibiá,BA,Nova Ibiá/BA,292275,6501,"57,82%","45,93%","38,47%"
Campestre,MG,Campestre/MG,311100,20696,"45,12%","45,97%","31,52%"
Paranapanema,SP,Paranapanema/SP,353580,19395,"34,83%","45,98%","13,41%"
Pitanga,PR,Pitanga/PR,411960,33567,"19,76%","46,08%","40,61%"
Coronel Vivida,PR,Coronel Vivida/PR,410650,23331,"8,55%","46,14%",19%
Pilar do Sul,SP,Pilar do Sul/SP,353790,27619,"21,05%","46,17%",0%
Canavieiras,BA,Canavieiras/BA,290630,32683,"22,91%","46,19%",--
Fernão,SP,Fernão/SP,351565,1656,"45,23%","46,20%","6,04%"
Porto de Pedras,AL,Porto de Pedras/AL,270740,9295,"46,12%","46,21%","13,93%"
Natal,RN,Natal/RN,240810,751300,"8,13%","46,21%","0,88%"
Nova Campina,SP,Nova Campina/SP,353282,8497,"19,88%","46,23%","5,85%"
Ribas do Rio Pardo,MS,Ribas do Rio Pardo/MS,500710,23150,"38,89%","46,30%","38,28%"
Santo Antônio do Jardim,SP,Santo Antônio do Jardim/SP,354810,6126,"45,53%","46,34%",--
Jaçanã,RN,Jaçanã/RN,240500,7834,"35,68%","46,39%","11,97%"
Capão da Canoa,RS,Capão da Canoa/RS,430463,63594,"14,02%","46,40%","2,44%"
Afrânio,PE,Afrânio/PE,260020,18674,"38,09%","46,45%",--
Lafaiete Coutinho,BA,Lafaiete Coutinho/BA,291870,4075,"50,18%","46,48%","46,48%"
Morada Nova de Minas,MG,Morada Nova de Minas/MG,314350,9067,"26,68%","46,50%","24,35%"
Casserengue,PB,Casserengue/PB,250415,6889,"62,72%","46,52%","51,01%"
Cansanção,BA,Cansanção/BA,290680,37439,"32,36%","46,58%",0%
Corumbá,MS,Corumbá/MS,500320,96268,"18,52%","46,64%","6,32%"
Alagoinha,PE,Alagoinha/PE,260060,13542,"43,58%","46,66%","29,81%"
Dias d'Ávila,BA,Dias d'Ávila/BA,291005,71485,"2,06%","46,71%","3,18%"
Francisco Alves,PR,Francisco Alves/PR,410832,8116,"0,01%","46,72%","33,82%"
Botelhos,MG,Botelhos/MG,310840,14828,"25,92%","46,78%","0,84%"
São Roque de Minas,MG,São Roque de Minas/MG,316430,7129,"42,53%","46,79%","31,93%"
São Gabriel,RS,São Gabriel/RS,431830,58487,"11,35%","46,81%","11,35%"
Tumiritinga,MG,Tumiritinga/MG,316950,5886,"34,52%","46,86%","18,26%"
