codigo_ibge,UF-Município,anomes_s,qtd_pes_pob,qtd_pes_baixa_renda,qtd_pes_acima_meio_sm,total,pop. IBGE 2024,% no cad unico,% pobreza
240165,Rn-Bodo,202503,1554,515,620,2689,2.363,"113,80%","65,76%"
240170,Rn-Bom Jesus,202503,4468,1603,1405,7476,10.279,"72,73%","43,47%"
240180,Rn-Brejinho,202503,4681,2449,1648,8778,12.603,"69,65%","37,14%"
240185,Rn-Caicara do Norte,202503,3176,914,705,4795,6.474,"74,07%","49,06%"
240190,Rn-Caicara do Rio do Vento,202503,2059,537,554,3150,3.359,"93,78%","61,30%"
240200,Rn-Caico,202503,16420,8197,9650,34267,63.339,"54,10%","25,92%"
240210,Rn-Campo Redondo,202503,4700,1512,1415,7627,10.504,"72,61%","44,74%"
240220,Rn-Canguaretama,202503,14523,4713,3111,22347,30.806,"72,54%","47,14%"
240230,Rn-Caraubas,202503,8427,3269,3496,15192,20.161,"75,35%","41,80%"
240240,Rn-Carnauba dos Dantas,202503,1754,2000,1744,5498,8.267,"66,51%","21,22%"
240250,Rn-Carnaubais,202503,4561,1487,1565,7613,10.010,"76,05%","45,56%"
240260,Rn-Ceara-Mirim,202503,27231,14492,8128,49851,83.009,"60,05%","32,80%"
240270,Rn-Cerro Cora,202503,4083,1787,1567,7437,11.322,"65,69%","36,06%"
240280,Rn-Coronel Ezequiel,202503,2570,787,800,4157,5.241,"79,32%","49,04%"
240290,Rn-Coronel Joao Pessoa,202503,1683,885,772,3340,4.315,"77,40%","39,00%"
240300,Rn-Cruzeta,202503,2818,1383,1338,5539,8.238,"67,24%","34,21%"
240310,Rn-Currais Novos,202503,10648,7628,6002,24278,42.930,"56,55%","24,80%"
240320,Rn-Doutor Severiano,202503,2501,1331,1417,5249,7.253,"72,37%","34,48%"
240325,Rn-Parnamirim,202503,53569,28399,22359,104327,269.298,"38,74%","19,89%"
240330,Rn-Encanto,202503,2580,1312,1316,5208,6.252,"83,30%","41,27%"
240340,Rn-Equador,202503,2714,814,1031,4559,5.476,"83,25%","49,56%"
240350,Rn-Espirito Santo,202503,4622,926,807,6355,10.936,"58,11%","42,26%"
240360,Rn-Extremoz,202503,23005,10530,6480,40015,66.993,"59,73%","34,34%"
240370,Rn-Felipe Guerra,202503,2630,1271,1675,5576,6.458,"86,34%","40,72%"
240375,Rn-Fernando Pedrosa,202503,1257,541,601,2399,3.029,"79,20%","41,50%"
240380,Rn-Florania,202503,3465,1718,1749,6932,10.528,"65,84%","32,91%"
240390,Rn-Francisco Dantas,202503,948,677,855,2480,2.763,"89,76%","34,31%"
240400,Rn-Frutuoso Gomes,202503,1788,963,835,3586,4.231,"84,76%","42,26%"
240410,Rn-Galinhos,202503,677,666,433,1776,2.160,"82,22%","31,34%"
240420,Rn-Goianinha,202503,10892,4718,2669,18279,28.212,"64,79%","38,61%"
240430,Rn-Governador Dix-Sept Rosado,202503,5051,1924,2111,9086,12.239,"74,24%","41,27%"
240440,Rn-Grossos,202503,4477,1130,1273,6880,10.251,"67,12%","43,67%"
240450,Rn-Guamare,202503,6011,2909,2948,11868,15.947,"74,42%","37,69%"
240460,Rn-Ielmo Marinho,202503,6171,1839,1244,9254,11.903,"77,75%","51,84%"
240470,Rn-Ipanguacu,202503,4234,3132,3351,10717,14.539,"73,71%","29,12%"
240480,Rn-Ipueira,202503,524,483,543,1550,2.090,"74,16%","25,07%"
240485,Rn-Itaja,202503,2817,1617,1612,6046,7.531,"80,28%","37,41%"
240490,Rn-Itau,202503,2530,693,1289,4512,5.452,"82,76%","46,40%"
240500,Rn-Jacana,202503,3939,1188,1035,6162,8.051,"76,54%","48,93%"
240510,Rn-Jandaira,202503,3066,910,874,4850,6.748,"71,87%","45,44%"
240520,Rn-Janduis,202503,2334,644,982,3960,4.834,"81,92%","48,28%"
240530,Rn-Boa Saude,202503,4621,1060,792,6473,8.836,"73,26%","52,30%"
240540,Rn-Japi,202503,4045,716,940,5701,5.231,"108,98%","77,33%"
240550,Rn-Jardim de Angicos,202503,1627,321,326,2274,2.493,"91,22%","65,26%"
240560,Rn-Jardim de Piranhas,202503,7148,1610,1237,9995,14.416,"69,33%","49,58%"
240570,Rn-Jardim do Serido,202503,2327,2241,2734,7302,11.952,"61,09%","19,47%"
240580,Rn-Joao Camara,202503,16833,4571,3664,25068,34.768,"72,10%","48,42%"
240590,Rn-Joao Dias,202503,1221,376,426,2023,2.093,"96,66%","58,34%"
240600,Rn-Jose da Penha,202503,2406,1182,1439,5027,5.964,"84,29%","40,34%"
240610,Rn-Jucurutu,202503,6782,2834,2537,12153,18.286,"66,46%","37,09%"
240615,Rn-Jundia,202503,1991,690,663,3344,3.859,"86,65%","51,59%"
240620,Rn-Lagoa D Anta,202503,3603,1013,990,5606,6.733,"83,26%","53,51%"
240630,Rn-Lagoa de Pedras,202503,4599,777,771,6147,7.577,"81,13%","60,70%"
240640,Rn-Lagoa de Velhos,202503,1331,556,495,2382,2.633,"90,47%","50,55%"
240650,Rn-Lagoa Nova,202503,6725,3202,2691,12618,16.126,"78,25%","41,70%"
240660,Rn-Lagoa Salgada,202503,6744,1090,1173,9007,8.619,"104,50%","78,25%"
240670,Rn-Lajes,202503,3560,1747,1969,7276,10.108,"71,98%","35,22%"
240680,Rn-Lajes Pintadas,202503,2328,896,880,4104,4.939,"83,09%","47,14%"
240690,Rn-Lucrecia,202503,1799,555,784,3138,3.579,"87,68%","50,27%"
240700,Rn-Luis Gomes,202503,3982,1555,1353,6890,9.286,"74,20%","42,88%"
240710,Rn-Macaiba,202503,29895,11375,9211,50481,86.433,"58,40%","34,59%"
240720,Rn-Macau,202503,7878,3154,2976,14008,28.384,"49,35%","27,76%"
240725,Rn-Major Sales,202503,1688,873,740,3301,4.067,"81,17%","41,50%"
240730,Rn-Marcelino Vieira,202503,3697,1383,1590,6670,8.092,"82,43%","45,69%"
240740,Rn-Martins,202503,3073,1352,1398,5823,8.411,"69,23%","36,54%"
240750,Rn-Maxaranguape,202503,4349,2078,1312,7739,10.534,"73,47%","41,29%"
240760,Rn-Messias Targino,202503,2356,530,1002,3888,4.404,"88,28%","53,50%"
240770,Rn-Montanhas,202503,6014,1672,1472,9158,11.774,"77,78%","51,08%"
240780,Rn-Monte Alegre,202503,9030,3318,2531,14879,23.843,"62,40%","37,87%"
240790,Rn-Monte das Gameleiras,202503,1414,614,518,2546,2.343,"108,66%","60,35%"
240800,Rn-Mossoro,202503,65362,38568,37138,141068,278.034,"50,74%","23,51%"
240810,Rn-Natal,202503,161969,67104,42643,271716,785.368,"34,60%","20,62%"
240820,Rn-Nisia Floresta,202503,12701,5212,3438,21351,33.949,"62,89%","37,41%"
240830,Rn-Nova Cruz,202503,15775,4844,3632,24251,35.534,"68,25%","44,39%"
240840,Rn-Olho D Agua do Borges,202503,1623,565,736,2924,3.748,"78,01%","43,30%"
240850,Rn-Ouro Branco,202503,1631,974,1398,4003,5.071,"78,94%","32,16%"
240860,Rn-Parana,202503,2419,532,938,3889,4.046,"96,12%","59,79%"
240870,Rn-Parau,202503,1449,640,705,2794,3.659,"76,36%","39,60%"
240880,Rn-Parazinho,202503,2580,1129,744,4453,4.940,"90,14%","52,23%"
240890,Rn-Parelhas,202503,7330,3801,3841,14972,22.179,"67,51%","33,05%"
240895,Rn-Rio do Fogo,202503,6435,1816,1214,9465,10.672,"88,69%","60,30%"
240910,Rn-Passa e Fica,202503,5683,2159,1747,9589,11.406,"84,07%","49,82%"
240920,Rn-Passagem,202503,1606,527,532,2665,3.222,"82,71%","49,84%"
240930,Rn-Patu,202503,4949,1579,1943,8471,11.245,"75,33%","44,01%"
240933,Rn-Santa Maria,202503,2743,737,472,3952,4.992,"79,17%","54,95%"
240940,Rn-Pau dos Ferros,202503,9436,4353,5003,18792,31.975,"58,77%","29,51%"
240950,Rn-Pedra Grande,202503,1886,846,684,3416,3.729,"91,61%","50,58%"
240960,Rn-Pedra Preta,202503,1230,375,430,2035,2.499,"81,43%","49,22%"
240970,Rn-Pedro Avelino,202503,2929,796,1082,4807,6.345,"75,76%","46,16%"
240980,Rn-Pedro Velho,202503,7784,1557,1312,10653,14.197,"75,04%","54,83%"
240990,Rn-Pendencias,202503,4530,1917,1557,8004,12.536,"63,85%","36,14%"
241000,Rn-Piloes,202503,1712,394,619,2725,3.010,"90,53%","56,88%"
241010,Rn-Poco Branco,202503,5943,2003,1421,9367,12.619,"74,23%","47,10%"
241020,Rn-Portalegre,202503,2921,1436,1399,5756,7.842,"73,40%","37,25%"
241025,Rn-Porto do Mangue,202503,2598,960,818,4376,5.357,"81,69%","48,50%"
241030,Rn-Serra Caiada,202503,4972,1706,1706,8384,11.146,"75,22%","44,61%"
241040,Rn-Pureza,202503,4666,1576,1232,7474,9.707,"77,00%","48,07%"
241050,Rn-Rafael Fernandes,202503,2254,875,975,4104,5.647,"72,68%","39,91%"
241060,Rn-Rafael Godeiro,202503,1185,637,614,2436,3.008,"80,98%","39,39%"
241070,Rn-Riacho da Cruz,202503,1215,449,489,2153,2.741,"78,55%","44,33%"
241080,Rn-Riacho de Santana,202503,1680,795,770,3245,4.243,"76,48%","39,59%"
241090,Rn-Riachuelo,202503,3472,1368,1259,6099,7.627,"79,97%","45,52%"
241100,Rn-Rodolfo Fernandes,202503,1725,846,897,3468,4.349,"79,74%","39,66%"
241105,Rn-Tibau,202503,1894,1272,813,3979,5.674,"70,13%","33,38%"
241110,Rn-Ruy Barbosa,202503,1204,613,571,2388,3.266,"73,12%","36,86%"
241120,Rn-Santa Cruz,202503,14208,5239,3858,23305,38.996,"59,76%","36,43%"
241140,Rn-Santana do Matos,202503,4652,1828,2472,8952,12.746,"70,23%","36,50%"
241142,Rn-Santana do Serido,202503,780,679,641,2100,2.787,"75,35%","27,99%"
241150,Rn-Santo Antonio,202503,10675,2991,2397,16063,22.779,"70,52%","46,86%"
241160,Rn-Sao Bento do Norte,202503,1162,986,1119,3267,3.426,"95,36%","33,92%"
241170,Rn-Sao Bento do Trairi,202503,2194,524,703,3421,3.892,"87,90%","56,37%"
241180,Rn-Sao Fernando,202503,1200,776,643,2619,3.600,"72,75%","33,33%"
241190,Rn-Sao Francisco do Oeste,202503,1569,751,874,3194,4.304,"74,21%","36,45%"
241200,Rn-Sao Goncalo do Amarante,202503,39926,16547,11491,67964,123.207,"55,16%","32,41%"
241210,Rn-Sao Joao do Sabugi,202503,2158,860,1353,4371,6.130,"71,31%","35,20%"
241220,Rn-Sao Jose de Mipibu,202503,17734,7721,4701,30156,49.693,"60,68%","35,69%"
241230,Rn-Sao Jose do Campestre,202503,5275,1339,1280,7894,11.340,"69,61%","46,52%"
241240,Rn-Sao Jose do Serido,202503,1099,1199,1574,3872,4.716,"82,10%","23,30%"
241250,Rn-Sao Miguel,202503,10785,3390,3571,17746,24.329,"72,94%","44,33%"
241255,Rn-Sao Miguel de Touros,202503,4681,2479,1785,8945,10.590,"84,47%","44,20%"
241260,Rn-Sao Paulo do Potengi,202503,7221,2907,2267,12395,17.320,"71,56%","41,69%"
241270,Rn-Sao Pedro,202503,2766,1016,799,4581,5.905,"77,58%","46,84%"
241280,Rn-Sao Rafael,202503,4327,676,1083,6086,7.899,"77,05%","54,78%"
241290,Rn-Sao Tome,202503,4226,1653,1942,7821,10.188,"76,77%","41,48%"
241300,Rn-Sao Vicente,202503,2324,1101,890,4315,6.514,"66,24%","35,68%"
241310,Rn-Senador Eloi de Souza,202503,3698,671,686,5055,6.007,"84,15%","61,56%"
241320,Rn-Senador Georgino Avelino,202503,1634,898,505,3037,4.193,"72,43%","38,97%"
241330,Rn-Serra de Sao Bento,202503,3227,589,549,4365,5.864,"74,44%","55,03%"
241335,Rn-Serra do Mel,202503,6994,2402,2037,11433,13.694,"83,49%","51,07%"
241340,Rn-Serra Negra do Norte,202503,2234,1196,1126,4556,7.801,"58,40%","28,64%"
241350,Rn-Serrinha,202503,3701,1154,926,5781,6.609,"87,47%","56,00%"
241355,Rn-Serrinha dos Pintos,202503,2243,763,879,3885,4.802,"80,90%","46,71%"
241360,Rn-Severiano Melo,202503,2737,1105,1639,5481,5.623,"97,47%","48,68%"
241370,Rn-Sitio Novo,202503,2192,804,886,3882,4.758,"81,59%","46,07%"
241380,Rn-Taboleiro Grande,202503,1204,325,512,2041,2.406,"84,83%","50,04%"
241390,Rn-Taipu,202503,5260,1698,1131,8089,11.716,"69,04%","44,90%"
241400,Rn-Tangara,202503,6660,2071,1472,10203,13.602,"75,01%","48,96%"
241410,Rn-Tenente Ananias,202503,4685,1742,1646,8073,10.587,"76,25%","44,25%"
241415,Rn-Tenente Laurentino Cruz,202503,3071,1157,1075,5303,6.118,"86,68%","50,20%"
241420,Rn-Tibau do Sul,202503,6157,2642,1316,10115,17.840,"56,70%","34,51%"
241430,Rn-Timbauba dos Batistas,202503,768,361,573,1702,2.420,"70,33%","31,74%"
241440,Rn-Touros,202503,18065,5300,2749,26114,34.624,"75,42%","52,17%"
241445,Rn-Triunfo Potiguar,202503,2246,495,520,3261,3.474,"93,87%","64,65%"
241450,Rn-Umarizal,202503,4585,1237,1794,7616,10.671,"71,37%","42,97%"
241460,Rn-Upanema,202503,5180,2600,3377,11157,14.013,"79,62%","36,97%"
241470,Rn-Varzea,202503,2643,565,671,3879,5.383,"72,06%","49,10%"
241475,Rn-Venha-Ver,202503,1709,752,796,3257,3.035,"107,31%","56,31%"
241480,Rn-Vera Cruz,202503,5609,2513,1870,9992,11.044,"90,47%","50,79%"
241490,Rn-Vicosa,202503,946,342,547,1835,1.890,"97,09%","50,05%"
241500,Rn-Vila Flor,202503,1448,648,245,2341,3.289,"71,18%","44,03%"
250010,Pb-Agua Branca,202503,4673,1493,1870,8036,9.578,"83,90%","48,79%"
250020,Pb-Aguiar,202503,2392,782,1307,4481,5.061,"88,54%","47,26%"
250030,Pb-Alagoa Grande,202503,13220,3786,3121,20127,26.774,"75,17%","49,38%"
250040,Pb-Alagoa Nova,202503,8724,3821,2592,15137,21.724,"69,68%","40,16%"
250050,Pb-Alagoinha,202503,7481,1539,1390,10410,14.118,"73,74%","52,99%"
250053,Pb-Alcantil,202503,2517,927,566,4010,5.777,"69,41%","43,57%"
250057,Pb-Algodao de Jandaira,202503,1868,380,261,2509,3.105,"80,81%","60,16%"
250060,Pb-Alhandra,202503,9581,3739,2979,16299,22.797,"71,50%","42,03%"
250070,Pb-Sao Joao do Rio do Peixe,202503,6436,2867,2422,11725,18.468,"63,49%","34,85%"
250073,Pb-Amparo,202503,1357,373,541,2271,2.316,"98,06%","58,59%"
250077,Pb-Aparecida,202503,4319,897,1532,6748,8.225,"82,04%","52,51%"
250080,Pb-Aracagi,202503,10402,1449,1931,13782,17.012,"81,01%","61,15%"
250090,Pb-Arara,202503,5903,991,1224,8118,12.496,"64,96%","47,24%"
250100,Pb-Araruna,202503,7633,2348,1554,11535,17.442,"66,13%","43,76%"
250110,Pb-Areia,202503,9342,3252,1717,14311,23.082,"62,00%","40,47%"
250115,Pb-Areia de Baraunas,202503,1081,256,384,1721,2.036,"84,53%","53,09%"
250120,Pb-Areial,202503,3965,1100,614,5679,7.393,"76,82%","53,63%"
250130,Pb-Aroeiras,202503,10318,2270,2233,14821,19.148,"77,40%","53,89%"
250135,Pb-Assuncao,202503,2668,620,564,3852,4.342,"88,71%","61,45%"
250140,Pb-Baia da Traicao,202503,5286,1518,876,7680,9.648,"79,60%","54,79%"
250150,Pb-Bananeiras,202503,9630,3654,1963,15247,23.989,"63,56%","40,14%"
250153,Pb-Barauna,202503,2434,863,688,3985,4.968,"80,21%","48,99%"
250157,Pb-Barra de Santana,202503,4108,1014,923,6045,8.253,"73,25%","49,78%"
250160,Pb-Barra de Santa Rosa,202503,6369,1513,1664,9546,13.094,"72,90%","48,64%"
250170,Pb-Barra de Sao Miguel,202503,3142,1080,654,4876,6.101,"79,92%","51,50%"
250180,Pb-Bayeux,202503,32709,13724,10392,56825,84.404,"67,33%","38,75%"
250190,Pb-Belem,202503,6913,2701,1828,11442,16.740,"68,35%","41,30%"
250200,Pb-Belem do Brejo do Cruz,202503,3985,657,856,5498,6.324,"86,94%","63,01%"
250205,Pb-Bernardino Batista,202503,1672,608,560,2840,3.650,"77,81%","45,81%"
250210,Pb-Boa Ventura,202503,2867,715,721,4303,5.277,"81,54%","54,33%"
250215,Pb-Boa Vista,202503,1976,1380,1091,4447,6.575,"67,63%","30,05%"
250220,Pb-Bom Jesus,202503,1178,383,501,2062,2.333,"88,38%","50,49%"
250230,Pb-Bom Sucesso,202503,2064,673,946,3683,4.740,"77,70%","43,54%"
250240,Pb-Bonito de Santa Fe,202503,5555,1266,1218,8039,10.460,"76,85%","53,11%"
250250,Pb-Boqueirao,202503,9655,2090,1716,13461,18.153,"74,15%","53,19%"
250260,Pb-Igaracy,202503,2711,1164,952,4827,5.743,"84,05%","47,21%"
250270,Pb-Borborema,202503,2235,995,423,3653,4.231,"86,34%","52,82%"
250280,Pb-Brejo do Cruz,202503,6881,2010,1294,10185,14.050,"72,49%","48,98%"
250290,Pb-Brejo dos Santos,202503,3166,684,923,4773,5.840,"81,73%","54,21%"
250300,Pb-Caapora,202503,9696,2926,2262,14884,21.865,"68,07%","44,34%"
250310,Pb-Cabaceiras,202503,2210,914,1158,4282,5.515,"77,64%","40,07%"
250320,Pb-Cabedelo,202503,21134,5468,4613,31215,70.067,"44,55%","30,16%"
250330,Pb-Cachoeira dos Indios,202503,4492,1210,1480,7182,9.351,"76,80%","48,04%"
250340,Pb-Cacimba de Areia,202503,2324,357,537,3218,3.354,"95,95%","69,29%"
250350,Pb-Cacimba de Dentro,202503,7668,2395,2013,12076,16.373,"73,76%","46,83%"
250355,Pb-Cacimbas,202503,5089,543,694,6326,7.478,"84,59%","68,05%"
250360,Pb-Caicara,202503,3271,914,531,4716,6.713,"70,25%","48,73%"
250370,Pb-Cajazeiras,202503,27964,6103,6213,40280,66.171,"60,87%","42,26%"
250375,Pb-Cajazeirinhas,202503,2380,326,493,3199,2.776,"115,24%","85,73%"
250380,Pb-Caldas Brandao,202503,3254,746,514,4514,5.928,"76,15%","54,89%"
250390,Pb-Camalau,202503,3508,762,1037,5307,6.298,"84,26%","55,70%"
250400,Pb-Campina Grande,202503,85639,64168,50260,200067,440.939,"45,37%","19,42%"
250403,Pb-Capim,202503,4030,1139,788,5957,7.347,"81,08%","54,85%"
250407,Pb-Caraubas,202503,2287,490,912,3689,4.059,"90,88%","56,34%"
250410,Pb-Carrapateira,202503,1271,365,364,2000,2.367,"84,50%","53,70%"
250415,Pb-Casserengue,202503,4032,755,680,5467,7.056,"77,48%","57,14%"
250420,Pb-Catingueira,202503,2360,576,436,3372,4.572,"73,75%","51,62%"
250430,Pb-Catole do Rocha,202503,11281,3584,3729,18594,32.118,"57,89%","35,12%"
250435,Pb-Caturite,202503,2796,1127,1048,4971,5.492,"90,51%","50,91%"
250440,Pb-Conceicao,202503,9267,1946,1711,12924,18.723,"69,03%","49,50%"
250450,Pb-Condado,202503,3113,781,803,4697,6.624,"70,91%","47,00%"
250460,Pb-Conde,202503,13275,5685,3568,22528,29.543,"76,25%","44,93%"
250470,Pb-Congo,202503,2954,770,901,4625,5.102,"90,65%","57,90%"
250480,Pb-Coremas,202503,8026,1633,1640,11299,15.005,"75,30%","53,49%"
250485,Pb-Coxixola,202503,933,315,412,1660,1.882,"88,20%","49,57%"
250490,Pb-Cruz do Espirito Santo,202503,8832,2411,1714,12957,17.718,"73,13%","49,85%"
250500,Pb-Cubati,202503,3826,1220,996,6042,7.820,"77,26%","48,93%"
250510,Pb-Cuite,202503,9111,2459,2108,13678,20.205,"67,70%","45,09%"
250520,Pb-Cuitegi,202503,3386,1106,839,5331,6.894,"77,33%","49,12%"
250523,Pb-Cuite de Mamanguape,202503,3350,1061,691,5102,6.431,"79,33%","52,09%"
250527,Pb-Curral de Cima,202503,3764,414,365,4543,5.406,"84,04%","69,63%"
250530,Pb-Curral Velho,202503,1132,357,263,1752,2.327,"75,29%","48,65%"
250535,Pb-Damiao,202503,3070,602,677,4349,5.131,"84,76%","59,83%"
250540,Pb-Desterro,202503,5015,811,875,6701,8.300,"80,73%","60,42%"
250550,Pb-Vista Serrana,202503,1600,768,561,2929,3.759,"77,92%","42,56%"
250560,Pb-Diamante,202503,3106,1071,878,5055,6.431,"78,60%","48,30%"
250570,Pb-Dona Ines,202503,5729,1660,1257,8646,10.640,"81,26%","53,84%"
250580,Pb-Duas Estradas,202503,1759,513,323,2595,3.377,"76,84%","52,09%"
250590,Pb-Emas,202503,1856,390,272,2518,3.053,"82,48%","60,79%"
250600,Pb-Esperanca,202503,12800,5224,3721,21745,32.522,"66,86%","39,36%"
250610,Pb-Fagundes,202503,5511,1680,1190,8381,11.315,"74,07%","48,71%"
250620,Pb-Frei Martinho,202503,1481,381,455,2317,2.913,"79,54%","50,84%"
250625,Pb-Gado Bravo,202503,5163,1115,822,7100,8.395,"84,57%","61,50%"
250630,Pb-Guarabira,202503,19954,7032,5926,32912,59.836,"55,00%","33,35%"
250640,Pb-Gurinhem,202503,6603,2065,1581,10249,14.133,"72,52%","46,72%"
250650,Pb-Gurjao,202503,1585,547,560,2692,3.343,"80,53%","47,41%"
250660,Pb-Ibiara,202503,2436,840,925,4201,5.733,"73,28%","42,49%"
250670,Pb-Imaculada,202503,5246,1282,1141,7669,10.550,"72,69%","49,73%"
250680,Pb-Inga,202503,9879,1991,1758,13628,18.197,"74,89%","54,29%"
250690,Pb-Itabaiana,202503,10731,2795,2784,16310,23.621,"69,05%","45,43%"
250700,Pb-Itaporanga,202503,8491,3374,2573,14438,24.686,"58,49%","34,40%"
250710,Pb-Itapororoca,202503,8452,3173,1888,13513,19.054,"70,92%","44,36%"
250720,Pb-Itatuba,202503,5344,1686,1279,8309,10.816,"76,82%","49,41%"
250730,Pb-Jacarau,202503,8526,1766,1551,11843,14.923,"79,36%","57,13%"
250740,Pb-Jerico,202503,3162,1061,1046,5269,7.721,"68,24%","40,95%"
250750,Pb-Joao Pessoa,202503,197741,80838,63651,342230,888.679,"38,51%","22,25%"
250760,Pb-Juarez Tavora,202503,5053,646,895,6594,8.057,"81,84%","62,72%"
250770,Pb-Juazeirinho,202503,7839,3140,1724,12703,17.488,"72,64%","44,83%"
250780,Pb-Junco do Serido,202503,3294,1007,840,5141,7.002,"73,42%","47,04%"
250790,Pb-Juripiranga,202503,4694,1758,1176,7628,10.259,"74,35%","45,75%"
250800,Pb-Juru,202503,4241,1159,1283,6683,9.410,"71,02%","45,07%"
250810,Pb-Lagoa,202503,2262,646,749,3657,4.502,"81,23%","50,24%"
250820,Pb-Lagoa de Dentro,202503,3977,901,494,5372,8.088,"66,42%","49,17%"
250830,Pb-Lagoa Seca,202503,10674,4817,3787,19278,29.053,"66,35%","36,74%"
250840,Pb-Lastro,202503,1575,574,383,2532,3.292,"76,91%","47,84%"
250850,Pb-Livramento,202503,3569,1038,798,5405,7.045,"76,72%","50,66%"
250855,Pb-Logradouro,202503,2537,524,398,3459,5.045,"68,56%","50,29%"
250860,Pb-Lucena,202503,5556,3299,2379,11234,13.019,"86,29%","42,68%"
250870,Pb-Mae D Agua,202503,1705,539,693,2937,3.624,"81,04%","47,05%"
250880,Pb-Malta,202503,2628,844,706,4178,6.259,"66,75%","41,99%"
250890,Pb-Mamanguape,202503,18939,6026,4186,29151,46.719,"62,40%","40,54%"
250900,Pb-Manaira,202503,5903,1373,1696,8972,10.700,"83,85%","55,17%"
250905,Pb-Marcacao,202503,5538,1216,682,7436,9.435,"78,81%","58,70%"
250910,Pb-Mari,202503,12161,2178,1896,16235,22.126,"73,38%","54,96%"
250915,Pb-Marizopolis,202503,3658,797,1780,6235,6.960,"89,58%","52,56%"
250920,Pb-Massaranduba,202503,6287,2056,1314,9657,14.666,"65,85%","42,87%"
250930,Pb-Mataraca,202503,4184,1590,961,6735,8.585,"78,45%","48,74%"
250933,Pb-Matinhas,202503,2330,882,671,3883,4.735,"82,01%","49,21%"
250937,Pb-Mato Grosso,202503,1317,569,389,2275,2.592,"87,77%","50,81%"
250939,Pb-Matureia,202503,3808,817,850,5475,6.677,"82,00%","57,03%"
250940,Pb-Mogeiro,202503,7119,1959,1754,10832,14.375,"75,35%","49,52%"
250950,Pb-Montadas,202503,3068,954,701,4723,6.083,"77,64%","50,44%"
250960,Pb-Monte Horebe,202503,2308,691,534,3533,4.435,"79,66%","52,04%"
250970,Pb-Monteiro,202503,15698,4676,5436,25810,33.742,"76,49%","46,52%"
250980,Pb-Mulungu,202503,4565,1025,644,6234,8.945,"69,69%","51,03%"
250990,Pb-Natuba,202503,3970,1602,1071,6643,9.014,"73,70%","44,04%"
251000,Pb-Nazarezinho,202503,3833,1018,1139,5990,7.392,"81,03%","51,85%"
251010,Pb-Nova Floresta,202503,4919,1381,1071,7371,9.884,"74,58%","49,77%"
251020,Pb-Nova Olinda,202503,3126,691,626,4443,5.909,"75,19%","52,90%"
251030,Pb-Nova Palmeira,202503,1600,657,597,2854,4.362,"65,43%","36,68%"
251040,Pb-Olho D Agua,202503,3399,815,731,4945,6.111,"80,92%","55,62%"
251050,Pb-Olivedos,202503,1492,806,676,2974,3.674,"80,95%","40,61%"
251060,Pb-Ouro Velho,202503,1380,574,820,2774,2.998,"92,53%","46,03%"
251065,Pb-Parari,202503,673,329,509,1511,1.751,"86,29%","38,44%"
251070,Pb-Passagem,202503,1277,370,435,2082,2.562,"81,26%","49,84%"
251080,Pb-Patos,202503,32424,12675,11268,56367,107.774,"52,30%","30,09%"
251090,Pb-Paulista,202503,5869,1317,1243,8429,12.160,"69,32%","48,26%"
251100,Pb-Pedra Branca,202503,1486,734,511,2731,3.846,"71,01%","38,64%"
251110,Pb-Pedra Lavrada,202503,3001,938,1345,5284,6.998,"75,51%","42,88%"
251120,Pb-Pedras de Fogo,202503,13724,5151,3663,22538,31.152,"72,35%","44,05%"
251130,Pb-Pianco,202503,7913,1095,1165,10173,17.006,"59,82%","46,53%"
251140,Pb-Picui,202503,7884,2763,1759,12406,18.835,"65,87%","41,86%"
251150,Pb-Pilar,202503,5473,2016,1024,8513,12.801,"66,50%","42,75%"
251160,Pb-Piloes,202503,4801,1052,762,6615,6.979,"94,78%","68,79%"
251170,Pb-Piloezinhos,202503,3594,546,542,4682,5.514,"84,91%","65,18%"
251180,Pb-Pirpirituba,202503,4431,1740,1377,7548,9.467,"79,73%","46,80%"
251190,Pb-Pitimbu,202503,9443,2149,1642,13234,17.164,"77,10%","55,02%"
251200,Pb-Pocinhos,202503,9468,2178,1760,13406,17.990,"74,52%","52,63%"
251203,Pb-Poco Dantas,202503,1828,885,862,3575,3.932,"90,92%","46,49%"
251207,Pb-Poco de Jose de Moura,202503,1672,643,933,3248,4.120,"78,83%","40,58%"
251210,Pb-Pombal,202503,12143,4663,4878,21684,33.796,"64,16%","35,93%"
251220,Pb-Prata,202503,1917,659,825,3401,4.027,"84,45%","47,60%"
251230,Pb-Princesa Isabel,202503,8824,2951,2724,14499,21.659,"66,94%","40,74%"
251240,Pb-Puxinana,202503,6039,2636,2240,10915,14.837,"73,57%","40,70%"
251250,Pb-Queimadas,202503,19024,7949,6380,33353,50.214,"66,42%","37,89%"
251260,Pb-Quixaba,202503,900,334,244,1478,1.798,"82,20%","50,06%"
251270,Pb-Remigio,202503,9225,2625,1768,13618,18.373,"74,12%","50,21%"
251272,Pb-Pedro Regio,202503,3025,509,332,3866,5.925,"65,25%","51,05%"
251274,Pb-Riachao,202503,1526,514,529,2569,2.964,"86,67%","51,48%"
251275,Pb-Riachao do Bacamarte,202503,2416,729,851,3996,4.877,"81,94%","49,54%"
251276,Pb-Riachao do Poco,202503,2443,927,555,3925,4.946,"79,36%","49,39%"
